Name,Moves,Pushes,Treedepth,MarkReach calls,MarkReach cycles,Avg cycles/call,loops,Approx cycles/loop,Stones loops,Avg stones,unused,unused,unused,total time(s)
Puzzle_1,263,97,44,3423,3508449,1024.963190,0,inf,0,0,1725.951512,84989,35.599819,0.026
Puzzle_2,540,131,76,11881,14137410,1189.917515,0,inf,0,0,2203.521412,601699,38.482037,0.052
Puzzle_3,377,134,67,15372,16661406,1083.880172,0,inf,0,0,1846.101178,762270,41.936700,0.063
Puzzle_4,927,355,185,67609,97471065,1441.687719,0,inf,0,0,3043.980806,2911941,33.929784,0.244
Puzzle_5,422,143,69,36448,49804701,1366.459092,0,inf,0,0,2360.183343,2271587,41.431242,0.158
Puzzle_6,346,110,60,7922,8666088,1093.926786,0,inf,0,0,1626.515868,381345,33.733533,0.041
Puzzle_7,375,88,55,40809,43215351,1058.966184,0,inf,0,0,1854.275111,957551,35.454950,0.120
Puzzle_8,782,230,139,246660,569175387,2307.530151,0,inf,0,0,4339.850808,30815116,43.755643,1.909
Puzzle_9,632,243,87,887684,1096283922,1234.993446,0,inf,0,0,1953.208116,25756360,34.242924,1.938
Puzzle_10,1583,512,299,1455351,4748646117,3262.887178,0,inf,0,0,6279.531118,144382632,40.253157,10.483
Puzzle_12,935,224,109,668534,1613203167,2413.045809,0,inf,0,0,4373.593887,63472224,44.242379,3.138
Puzzle_17,552,213,78,102476,110566764,1078.952769,0,inf,0,0,1860.804408,3800838,34.141660,0.178
Puzzle_21,644,149,97,412821,705811728,1709.728255,0,inf,0,0,3881.366590,13333961,46.541314,1.102
Puzzle_33,733,174,121,479112,848068872,1770.084807,0,inf,0,0,3349.162933,35447778,42.302721,2.418
Puzzle_38,396,89,67,305061,312848055,1025.526223,0,inf,0,0,1873.960610,9431234,41.691857,0.552
Puzzle_43,610,146,115,379316,691757457,1823.697015,0,inf,0,0,4246.527604,26594858,50.551433,1.686
Puzzle_45,865,300,161,297207,416790081,1402.356206,0,inf,0,0,3447.923248,8766918,41.484800,0.878
Puzzle_49,683,128,86,659448,862220592,1307.488372,0,inf,0,0,2588.002713,22403120,39.809144,1.494
Puzzle_51,413,118,86,24597,41670348,1694.123186,0,inf,0,0,3148.109462,2262380,47.620029,0.155
Puzzle_53,1103,202,163,330643,905017419,2737.143744,0,inf,0,0,6561.571155,11420422,51.677071,1.238
Puzzle_55,420,120,90,3836,11133228,2902.301356,0,inf,0,0,5273.940236,554283,43.464005,0.136
Puzzle_56,801,207,156,40130,112292814,2798.226115,0,inf,0,0,5760.472162,3242992,50.854988,0.359
Puzzle_57,720,225,177,117865,337920966,2867.017062,0,inf,0,0,6318.255099,10579743,52.006833,0.799
Puzzle_58,830,199,119,122823,337358109,2746.701424,0,inf,0,0,6466.768138,8233948,52.252036,0.795
Puzzle_59,997,230,179,685292,1405097019,2050.362501,0,inf,0,0,5264.119381,33752194,48.827889,3.773
Puzzle_60,523,152,127,72333,176706906,2442.963875,0,inf,0,0,5876.198765,3983172,52.088342,0.342
Puzzle_61,923,263,187,133591,295759035,2213.914373,0,inf,0,0,5138.868792,3896926,46.734660,0.602
Puzzle_62,725,245,129,147260,367654527,2496.635386,0,inf,0,0,5395.413482,10177819,48.812450,0.659
Puzzle_63,1627,431,382,278176,975257850,3505.902199,0,inf,0,0,6991.893618,43299673,52.818423,2.121
Puzzle_64,716,137,153,437395,813447585,1859.755107,0,inf,0,0,4312.026664,26384852,45.840606,1.992
Puzzle_65,721,211,122,18520,40496412,2186.631317,0,inf,0,0,4273.231011,1427847,43.775383,0.210
Puzzle_68,1304,341,217,599397,1674217110,2793.168985,0,inf,0,0,5031.400958,80022813,43.336243,3.456
Puzzle_70,1127,333,250,128986,292640193,2268.774852,0,inf,0,0,4597.645083,10380755,39.009377,0.609
Puzzle_72,943,296,104,25783,57149826,2216.570066,0,inf,0,0,4030.562732,2382004,38.720072,0.298
Puzzle_73,1452,441,187,90757,231531837,2551.118228,0,inf,0,0,5179.074341,10007236,40.976189,0.488
Puzzle_78,492,136,58,14700,21246555,1445.343878,0,inf,0,0,3060.029210,650854,39.112279,0.064
Puzzle_79,562,174,92,80144,169832448,2119.091236,0,inf,0,0,3713.257919,1869652,41.004381,0.190
Puzzle_80,637,231,78,42795,70688814,1651.800771,0,inf,0,0,3086.858381,3211773,34.591212,0.196
Puzzle_81,815,173,128,82292,160266897,1947.539214,0,inf,0,0,4145.771221,5218611,45.325658,0.312
Puzzle_82,406,143,70,18740,28984881,1546.685219,0,inf,0,0,2801.083204,714266,43.079048,0.104
Puzzle_83,507,194,74,10683,16657899,1559.290368,0,inf,0,0,2775.969680,870179,34.089552,0.071
Puzzle_84,509,157,88,10635,21084501,1982.557687,0,inf,0,0,3588.816010,1029108,40.731751,0.115
