Name,Moves,Pushes,Treedepth,MarkReach calls,MarkReach cycles,Avg cycles/call,loops,Approx cycles/loop,Stones loops,Avg stones,unused,unused,unused,total time(s)
Puzzle_1,263,97,44,3423,1946937,568.780894,53753,36.220062,8549,0,1498.971477,84989,30.918084,0.034
Puzzle_2,540,131,76,11881,6626253,557.718458,176720,37.495773,41010,0,2047.209650,601699,35.752227,0.062
Puzzle_3,377,134,67,15372,8310936,540.654176,220318,37.722456,58070,0,1717.604643,762270,39.017726,0.069
Puzzle_4,927,355,185,67609,41833833,618.761304,1137033,36.792101,544750,0,2967.985458,2911941,33.082701,0.222
Puzzle_5,422,143,69,36448,19584711,537.332940,510082,38.395221,158815,0,2175.042281,2271587,38.181230,0.150
Puzzle_6,346,110,60,7922,4367079,551.259657,116581,37.459612,27990,0,1562.570616,381345,32.407324,0.051
Puzzle_7,375,88,55,40809,23898876,585.627582,671828,35.572909,172909,0,1759.990005,957551,33.652157,0.113
Puzzle_8,782,230,139,246660,168333501,682.451557,4741183,35.504536,1764770,0,4404.710355,30815116,44.409576,1.806
Puzzle_9,632,243,87,887684,504046440,567.821928,13691500,36.814552,4738366,0,1901.671452,25756360,33.339402,1.707
Puzzle_10,1583,512,299,1455351,1542251740,1059.711190,49660606,31.055838,12526530,0,5929.689106,144382632,38.010594,8.984
Puzzle_12,935,224,109,668534,529559077,792.119888,16242303,32.603694,3282945,0,4191.380798,63472224,42.399149,2.625
Puzzle_17,552,213,78,102476,57141873,557.612251,1563129,36.556083,245755,0,1592.334457,3800838,29.215828,0.146
Puzzle_21,644,149,97,412821,285033219,690.452324,8426897,33.824220,2241697,0,3727.890848,13333961,44.700992,0.911
Puzzle_33,733,174,121,479112,316915566,661.464472,9127644,34.720413,2337302,0,3207.028356,35447778,40.507443,2.158
Puzzle_38,396,89,67,305061,160205664,525.159440,4118960,38.894688,825153,0,1719.668354,9431234,38.259164,0.477
Puzzle_43,610,146,115,379316,265128594,698.964963,7543963,35.144472,1411516,0,4061.356903,26594858,48.347127,1.505
Puzzle_45,865,300,161,297207,173516205,583.822740,4799857,36.150286,1857784,0,3340.450826,8766918,40.191711,0.770
Puzzle_49,683,128,86,659448,399684765,606.089889,11144575,35.863617,3084247,0,2379.821348,22403120,36.606859,1.251
Puzzle_51,413,118,86,24597,13479327,548.006952,355869,37.877216,115444,0,2913.019549,2262380,44.063930,0.138
Puzzle_53,1103,202,163,330643,290521113,878.654963,9208795,31.548222,1936836,0,5864.846538,11420422,46.189866,0.930
Puzzle_55,420,120,90,3836,3576204,932.274244,112141,31.890245,14294,0,4533.423599,554283,37.361202,0.122
Puzzle_56,801,207,156,40130,29187888,727.333367,853935,34.180456,195135,0,4949.146629,3242992,43.692389,0.301
Puzzle_57,720,225,177,117865,85182420,722.711746,2408635,35.365433,914556,0,5708.557496,10579743,46.988289,0.637
Puzzle_58,830,199,119,122823,93592395,762.010332,2810186,33.304698,752836,0,5605.972269,8233948,45.296733,0.624
Puzzle_59,997,230,179,685292,521770563,761.384290,15037204,34.698642,4490311,0,4593.998502,33752194,42.612113,3.155
Puzzle_60,523,152,127,72333,58048749,802.520966,1776488,32.676128,365485,0,5066.827518,3983172,44.913839,0.263
Puzzle_61,923,263,187,133591,103402776,774.025017,3149895,32.827372,872732,0,4578.709537,3896926,41.640377,0.482
Puzzle_62,725,245,129,147260,107786895,731.949579,3166377,34.041081,897774,0,4592.407748,10177819,41.547635,0.488
Puzzle_63,1627,431,382,278176,228223473,820.428337,6714893,33.987656,1587129,0,6211.089680,43299673,46.920045,1.677
Puzzle_64,716,137,153,437395,299623383,685.017851,8454725,35.438572,2376759,0,3910.998160,26384852,41.577323,1.662
Puzzle_65,721,211,122,18520,11589990,625.809395,310216,37.361032,83728,0,3741.492445,1427847,38.328203,0.179
Puzzle_68,1304,341,217,599397,514456389,858.289896,15949469,32.255393,2812986,0,4463.277949,80022813,38.442911,2.737
Puzzle_70,1127,333,250,128986,138477513,1073.585606,4470931,30.972858,797633,0,4436.992983,10380755,37.646301,0.558
Puzzle_72,943,296,104,25783,24981591,968.917155,784455,31.845792,122353,0,3759.143425,2382004,36.112651,0.270
Puzzle_73,1452,441,187,90757,81732546,900.564651,2535208,32.238990,436050,0,5055.154706,10007236,39.995752,0.408
Puzzle_78,492,136,58,14700,10040553,683.030816,295431,33.986119,49924,0,2869.460151,650854,36.676488,0.059
Puzzle_79,562,174,92,80144,54816084,683.969904,1606166,34.128530,292549,0,3549.870096,1869652,39.200139,0.137
Puzzle_80,637,231,78,42795,26537178,620.099965,726878,36.508435,195219,0,2845.931650,3211773,31.891396,0.169
Puzzle_81,815,173,128,82292,59378697,721.560990,1753169,33.869351,408543,0,3709.138533,5218611,40.551959,0.251
Puzzle_82,406,143,70,18740,10240716,546.462967,266549,38.419638,84914,0,2506.143195,714266,38.543040,0.093
Puzzle_83,507,194,74,10683,8645586,809.284471,272072,31.776831,40197,0,2457.083099,870179,30.173550,0.069
Puzzle_84,509,157,88,10635,6422499,603.902116,179434,35.793099,37206,0,3236.914469,1029108,36.737797,0.103
