Name,Moves,Pushes,Treedepth,MarkReach calls,MarkReach cycles,Avg cycles/call,loops,Approx cycles/loop,Stones loops,Avg stones,unused,unused,unused,total time(s)
Puzzle_1,263,97,44,3423,2722539,795.366345,0,inf,0,0,1666.660011,84989,34.376861,0.024
Puzzle_2,540,131,76,11881,10873494,915.200236,0,inf,0,0,2140.420917,601699,37.380057,0.051
Puzzle_3,377,134,67,15372,13785453,896.789813,0,inf,0,0,1794.826923,762270,40.771935,0.060
Puzzle_4,927,355,185,67609,72527547,1072.749885,0,inf,0,0,3031.388533,2911941,33.789424,0.232
Puzzle_5,422,143,69,36448,37130061,1018.713263,0,inf,0,0,2236.592763,2271587,39.261703,0.148
Puzzle_6,346,110,60,7922,6543636,826.008079,0,inf,0,0,1637.374510,381345,33.958738,0.040
Puzzle_7,375,88,55,40809,32918157,806.639638,0,inf,0,0,1860.077831,957551,35.565902,0.117
Puzzle_8,782,230,139,246660,407229555,1650.975249,0,inf,0,0,4407.256319,30815116,44.435245,1.886
Puzzle_9,632,243,87,887684,865333932,974.822045,0,inf,0,0,1968.772046,25756360,34.515785,1.874
Puzzle_10,1583,512,299,1455351,3209704881,2205.450700,0,inf,0,0,6147.737932,144382632,39.408334,9.746
Puzzle_12,935,224,109,668534,1183671348,1770.547718,0,inf,0,0,4425.645741,63472224,44.768925,3.004
Puzzle_17,552,213,78,102476,84129663,820.969427,0,inf,0,0,1773.767584,3800838,32.544726,0.162
Puzzle_21,644,149,97,412821,530959788,1286.174366,0,inf,0,0,3924.583856,13333961,47.059530,1.039
Puzzle_33,733,174,121,479112,657035163,1371.360273,0,inf,0,0,3431.011015,35447778,43.336531,2.395
Puzzle_38,396,89,67,305061,258722772,848.101763,0,inf,0,0,1920.437062,9431234,42.725865,0.545
Puzzle_43,610,146,115,379316,527600613,1390.926333,0,inf,0,0,4209.375476,26594858,50.109167,1.614
Puzzle_45,865,300,161,297207,312667503,1052.019310,0,inf,0,0,3498.242345,8766918,42.090230,0.847
Puzzle_49,683,128,86,659448,668166348,1013.220675,0,inf,0,0,2592.192401,22403120,39.873590,1.435
Puzzle_51,413,118,86,24597,29981400,1218.904744,0,inf,0,0,3000.961837,2262380,45.394194,0.145
Puzzle_53,1103,202,163,330643,627038673,1896.422041,0,inf,0,0,6010.398237,11420422,47.336189,1.063
Puzzle_55,420,120,90,3836,7396524,1928.186653,0,inf,0,0,4752.597636,554283,39.167476,0.123
Puzzle_56,801,207,156,40130,84375039,2102.542711,0,inf,0,0,5593.934649,3242992,49.384750,0.332
Puzzle_57,720,225,177,117865,224130513,1901.586671,0,inf,0,0,5792.835883,10579743,47.682001,0.703
Puzzle_58,830,199,119,122823,232143882,1890.068489,0,inf,0,0,5944.779727,8233948,48.034326,0.702
Puzzle_59,997,230,179,685292,1012236663,1477.088107,0,inf,0,0,4939.693412,33752194,45.818642,3.470
Puzzle_60,523,152,127,72333,118530435,1638.677160,0,inf,0,0,5317.782514,3983172,47.138377,0.293
Puzzle_61,923,263,187,133591,211609749,1584.012014,0,inf,0,0,4770.569865,3896926,43.385221,0.535
Puzzle_62,725,245,129,147260,245192151,1665.028867,0,inf,0,0,4831.078911,10177819,43.706900,0.558
Puzzle_63,1627,431,382,278176,641029959,2304.404258,0,inf,0,0,6360.324437,43299673,48.047399,1.844
Puzzle_64,716,137,153,437395,594464247,1359.101606,0,inf,0,0,4062.391645,26384852,43.186768,1.794
Puzzle_65,721,211,122,18520,28819704,1556.139525,0,inf,0,0,3932.589184,1427847,40.285816,0.189
Puzzle_68,1304,341,217,599397,1187415153,1981.016176,0,inf,0,0,4669.830614,80022813,40.221981,3.097
Puzzle_70,1127,333,250,128986,222813261,1727.422054,0,inf,0,0,4567.872305,10380755,38.756766,0.584
Puzzle_72,943,296,104,25783,43198770,1675.474925,0,inf,0,0,3866.288642,2382004,37.141954,0.281
Puzzle_73,1452,441,187,90757,176932875,1949.523177,0,inf,0,0,5135.333965,10007236,40.630120,0.450
Puzzle_78,492,136,58,14700,15713916,1068.973878,0,inf,0,0,3050.005049,650854,38.984153,0.061
Puzzle_79,562,174,92,80144,120587763,1504.638688,0,inf,0,0,3701.473264,1869652,40.874247,0.165
Puzzle_80,637,231,78,42795,49818177,1164.112093,0,inf,0,0,2930.107777,3211773,32.834671,0.184
Puzzle_81,815,173,128,82292,112623231,1368.580555,0,inf,0,0,3883.845167,5218611,42.462024,0.280
Puzzle_82,406,143,70,18740,20832300,1111.648879,0,inf,0,0,2562.522986,714266,39.410129,0.094
Puzzle_83,507,194,74,10683,12307191,1152.035102,0,inf,0,0,2643.516283,870179,32.462993,0.066
Puzzle_84,509,157,88,10635,15382509,1446.404231,0,inf,0,0,3403.901455,1029108,38.633039,0.108
