Name,Moves,Pushes,Treedepth,#call of MarkReach(),#cycles of MarkReach(),Avg #cycles/call,#loop,Avg #cycle/loop,#call of Moves(),#cycles of Moves(),Avg #cycles/call,#loop,Avg #cycle/loop,total time(s)
Puzzle_1,360,97,44,3423,3528177,1030.726556,159077,22.179052,1753,2437497,1390.471763,84989,28.680147,0.050
Puzzle_2,671,131,76,11881,13675012,1150.998401,595063,22.980780,10508,17859946,1699.652265,601699,29.682526,0.048
Puzzle_3,511,134,67,15372,15942786,1037.131538,644964,24.718877,17316,24104890,1392.058790,762270,31.622509,0.055
Puzzle_4,1282,355,185,67609,94499506,1397.735597,4083163,23.143702,32458,81198746,2501.655863,2911941,27.884750,0.230
Puzzle_5,565,143,69,36448,48762394,1337.861995,1910189,25.527523,39876,75770106,1900.143094,2271587,33.355582,0.151
Puzzle_6,456,110,60,7922,8764358,1106.331482,354903,24.695080,7909,10174678,1286.468327,381345,26.681032,0.052
Puzzle_7,463,88,55,40809,42512776,1041.750006,1896344,22.418283,18309,26816288,1464.650609,957551,28.005075,0.111
Puzzle_8,1012,230,139,246660,560446926,2272.143542,20992279,26.697765,310687,1136972696,3659.543837,30815116,36.896590,1.756
Puzzle_9,875,243,87,887684,1080661586,1217.394462,46554936,23.212610,451551,733561596,1624.537640,25756360,28.480794,1.816
Puzzle_10,2095,512,299,1455351,4426772653,3041.721655,198954884,22.250133,925524,4701352685,5079.665881,144382632,32.561761,9.380
Puzzle_12,1159,224,109,668534,1582750412,2367.494267,65452377,24.181710,642072,2320778109,3614.513807,63472224,36.563680,2.859
Puzzle_17,765,213,78,102476,102677831,1001.969544,5112756,20.082678,69737,90252498,1294.183834,3800838,23.745421,0.151
Puzzle_21,793,149,97,412821,686487855,1662.918929,31584133,21.735213,159887,535363254,3348.385135,13333961,40.150354,1.040
Puzzle_33,907,174,121,479112,845963948,1765.691421,33187068,25.490771,447735,1183094548,2642.399071,35447778,33.375704,2.207
Puzzle_38,485,89,67,305061,302538743,991.731959,13066623,23.153553,209826,303216841,1445.087077,9431234,32.150283,0.496
Puzzle_43,756,146,115,379316,669514639,1765.057733,28979697,23.102886,316590,1067066917,3370.501017,26594858,40.123054,1.511
Puzzle_45,1165,300,161,297207,402141071,1353.067293,17567188,22.891602,105482,300268544,2846.633018,8766918,34.250183,0.816
Puzzle_49,811,128,86,659448,835417076,1266.842990,38402583,21.754190,344609,693788768,2013.263635,22403120,30.968399,1.360
Puzzle_51,531,118,86,24597,39940946,1623.813717,1504194,26.553055,34222,84933936,2481.851908,2262380,37.541852,0.136
Puzzle_53,1305,202,163,330643,786020863,2377.249369,40290117,19.509024,89944,446369408,4962.748021,11420422,39.085194,1.058
Puzzle_55,540,120,90,3836,9815900,2558.889468,450916,21.768800,4568,16438400,3598.598949,554283,29.657052,0.117
Puzzle_56,1008,207,156,40130,96984917,2416.768428,4271893,22.703030,28630,119487354,4173.501711,3242992,36.844788,0.302
Puzzle_57,945,225,177,117865,295309177,2505.486591,12764248,23.135650,87084,422738732,4854.378899,10579743,39.957372,0.682
Puzzle_58,1029,199,119,122823,293531784,2389.876359,13706709,21.415190,66531,319464863,4801.744495,8233948,38.798504,0.670
Puzzle_59,1227,230,179,685292,1231738188,1797.391751,52934391,23.269148,313072,1189724528,3800.162672,33752194,35.248806,3.185
Puzzle_60,675,152,127,72333,151920476,2100.292757,7193013,21.120562,35308,152960224,4332.169027,3983172,38.401612,0.292
Puzzle_61,1186,263,187,133591,260757286,1951.907584,12539233,20.795314,35440,134596392,3797.866591,3896926,34.539119,0.547
Puzzle_62,970,245,129,147260,318670192,2163.996958,15098645,21.105880,92079,365501084,3969.429338,10177819,35.911533,0.545
Puzzle_63,2058,431,382,278176,849661228,3054.401631,35678763,23.814201,327096,1697386724,5189.261636,43299673,39.200913,1.725
Puzzle_64,853,137,153,437395,723202893,1653.432008,33066912,21.870893,280494,872051494,3108.984485,26384852,33.051218,1.650
Puzzle_65,932,211,122,18520,36069103,1947.575756,1665082,21.662058,14627,45527216,3112.546387,1427847,31.885220,0.179
Puzzle_68,1645,341,217,599397,1485645376,2478.566586,67202928,22.106855,689249,2470613715,3584.500979,80022813,30.873867,2.803
Puzzle_70,1460,333,250,128986,276773373,2145.762897,13701360,20.200431,88077,299167045,3396.653440,10380755,28.819392,0.541
Puzzle_72,1239,296,104,25783,54335433,2107.413140,2475045,21.953311,22883,69368764,3031.454093,2382004,29.122018,0.291
Puzzle_73,1893,441,187,90757,216051996,2380.554624,10332549,20.909845,79176,315552106,3985.451475,10007236,31.532394,0.410
Puzzle_78,628,136,58,14700,20747129,1411.369320,1040918,19.931569,8319,20246748,2433.795889,650854,31.107972,0.059
Puzzle_79,736,174,92,80144,156208860,1949.102366,7461732,20.934665,20646,62780656,3040.814492,1869652,33.578792,0.170
Puzzle_80,868,231,78,42795,66755384,1559.887463,2958676,22.562587,35991,86257806,2396.649329,3211773,26.856757,0.174
Puzzle_81,988,173,128,82292,146259168,1777.319399,6681192,21.891179,57055,187268316,3282.241977,5218611,35.884705,0.270
Puzzle_82,549,143,70,18740,26170990,1396.530950,1099700,23.798300,10985,23044819,2097.844242,714266,32.263637,0.091
Puzzle_83,701,194,74,10683,15371580,1438.882336,746349,20.595700,10686,21627598,2023.918959,870179,24.854194,0.063
Puzzle_84,666,157,88,10635,20244786,1903.600000,862977,23.459242,11680,32381960,2772.428082,1029108,31.466046,0.101
