Name,Moves,Pushes,Treedepth,#call of MarkReach(),#cycles of MarkReach(),Avg #cycles/call,#loop,Avg #cycle/loop,#call of Moves(),#cycles of Moves(),Avg #cycles/call,#loop,Avg #cycle/loop,total time(s)
Puzzle_1,263,97,44,3423,3243662,947.607946,0,inf,1753,7823360,4462.840844,84989,92.051442,0.028
Puzzle_2,540,131,76,11881,13412388,1128.893864,0,inf,10508,57596646,5481.218691,601699,95.723353,0.073
Puzzle_3,377,134,67,15372,16008226,1041.388629,0,inf,17316,72316376,4176.274890,762270,94.869765,0.095
Puzzle_4,927,355,185,67609,93854376,1388.193525,0,inf,32458,245881196,7575.364964,2911941,84.438935,0.376
Puzzle_5,422,143,69,36448,46366288,1272.121598,0,inf,39876,217402859,5451.972590,2271587,95.705275,0.270
Puzzle_6,346,110,60,7922,8567968,1081.541025,0,inf,7909,34096692,4311.125553,381345,89.411667,0.054
Puzzle_7,375,88,55,40809,43599366,1068.376241,0,inf,18309,84031030,4589.602381,957551,87.756193,0.211
Puzzle_8,782,230,139,246660,540623516,2191.776194,0,inf,310687,3102791294,9986.871977,30815116,100.690560,4.223
Puzzle_9,632,243,87,887684,1084255502,1221.443106,0,inf,451551,2139233578,4737.523730,25756360,83.056518,3.797
Puzzle_10,1583,512,299,1455351,4321902823,2969.663554,0,inf,925524,13586772421,14680.086547,144382632,94.102540,21.892
Puzzle_12,935,224,109,668534,1503842477,2249.462970,0,inf,642072,6504651667,10130.720024,63472224,102.480286,5.899
Puzzle_17,552,213,78,102476,101503304,990.508060,0,inf,69737,322907275,4630.357988,3800838,84.956863,0.297
Puzzle_21,644,149,97,412821,678722248,1644.107853,0,inf,159887,1405684248,8791.735713,13333961,105.421356,2.156
Puzzle_33,733,174,121,479112,832175488,1736.912221,0,inf,447735,3432662670,7666.728467,35447778,96.837175,4.899
Puzzle_38,396,89,67,305061,306567330,1004.937799,0,inf,209826,976032657,4651.628764,9431234,103.489390,1.057
Puzzle_43,610,146,115,379316,648698036,1710.178416,0,inf,316590,2934250586,9268.298386,26594858,110.331500,3.367
Puzzle_45,865,300,161,297207,407738702,1371.901409,0,inf,105482,850952918,8067.280844,8766918,97.064090,1.819
Puzzle_49,683,128,86,659448,834502325,1265.455843,0,inf,344609,2186786980,6345.704784,22403120,97.610823,2.876
Puzzle_51,413,118,86,24597,37520637,1525.415173,0,inf,34222,239484874,6997.980071,2262380,105.855282,0.263
Puzzle_53,1103,202,163,330643,797331751,2411.458132,0,inf,89944,1213746990,13494.474228,11420422,106.278646,2.045
Puzzle_55,420,120,90,3836,9276095,2418.168665,0,inf,4568,55356494,12118.321804,554283,99.870452,0.181
Puzzle_56,801,207,156,40130,96127262,2395.396511,0,inf,28630,340579364,11895.891163,3242992,105.020106,0.568
Puzzle_57,720,225,177,117865,286320679,2429.225631,0,inf,87084,1133962915,13021.484027,10579743,107.182463,1.368
Puzzle_58,830,199,119,122823,286137471,2329.673359,0,inf,66531,868722466,13057.408817,8233948,105.504974,1.253
Puzzle_59,997,230,179,685292,1231046675,1796.382673,0,inf,313072,3504631963,11194.332176,33752194,103.834197,8.259
Puzzle_60,523,152,127,72333,151177082,2090.015373,0,inf,35308,426645497,12083.536224,3983172,107.111994,0.513
Puzzle_61,923,263,187,133591,259983784,1946.117508,0,inf,35440,377732599,10658.369046,3896926,96.930914,0.978
Puzzle_62,725,245,129,147260,315190710,2140.368803,0,inf,92079,1047388047,11374.885120,10177819,102.908889,1.070
Puzzle_63,1627,431,382,278176,813076032,2922.883469,0,inf,327096,4608987132,14090.625174,43299673,106.443925,3.589
Puzzle_64,716,137,153,437395,713915236,1632.197981,0,inf,280494,2506842491,8937.241050,26384852,95.010671,3.758
Puzzle_65,721,211,122,18520,34656534,1871.303132,0,inf,14627,136135307,9307.124291,1427847,95.343063,0.317
Puzzle_68,1304,341,217,599397,1400580285,2336.648807,0,inf,689249,7580897919,10998.779714,80022813,94.734209,6.384
Puzzle_70,1127,333,250,128986,270765324,2099.183818,0,inf,88077,942256708,10698.101752,10380755,90.769574,1.092
Puzzle_72,943,296,104,25783,52842056,2049.492146,0,inf,22883,212939152,9305.560984,2382004,89.394960,0.487
Puzzle_73,1452,441,187,90757,206955180,2280.321959,0,inf,79176,944599250,11930.373472,10007236,94.391623,0.820
Puzzle_78,492,136,58,14700,20196654,1373.922041,0,inf,8319,60827442,7311.869455,650854,93.457891,0.101
Puzzle_79,562,174,92,80144,155372898,1938.671616,0,inf,20646,178509022,8646.179502,1869652,95.477138,0.268
Puzzle_80,637,231,78,42795,64112180,1498.123145,0,inf,35991,271720164,7549.669751,3211773,84.601298,0.320
Puzzle_81,815,173,128,82292,143950610,1749.266150,0,inf,57055,533265559,9346.517553,5218611,102.185344,0.533
Puzzle_82,406,143,70,18740,30852585,1646.349253,0,inf,10985,78801257,7173.532726,714266,110.324805,0.186
Puzzle_83,507,194,74,10683,17798651,1666.072358,0,inf,10686,79664554,7455.039678,870179,91.549617,0.109
Puzzle_84,509,157,88,10635,21905508,2059.756276,0,inf,11680,114500090,9803.089897,1029108,111.261491,0.209
