Name,Moves,Pushes,Treedepth,#call of MarkReach(),#cycles of MarkReach(),Avg #cycles/call,#loop,Avg #cycle/loop,#call of Moves(),#cycles of Moves(),Avg #cycles/call,#loop,Avg #cycle/loop,total time(s)
Puzzle_1,263,97,44,3423,2779422,811.984224,0,inf,1753,7911686,4513.226469,84989,93.090706,0.028
Puzzle_2,540,131,76,11881,11282810,949.651544,0,inf,10508,57828072,5503.242482,601699,96.107974,0.072
Puzzle_3,377,134,67,15372,13919954,905.539552,0,inf,17316,72788048,4203.513976,762270,95.488538,0.094
Puzzle_4,927,355,185,67609,73118592,1081.491991,0,inf,32458,246400492,7591.363978,2911941,84.617268,0.366
Puzzle_5,422,143,69,36448,37673420,1033.621049,0,inf,39876,218185948,5471.610693,2271587,96.050007,0.268
Puzzle_6,346,110,60,7922,6691114,844.624337,0,inf,7909,34240590,4329.319762,381345,89.789010,0.055
Puzzle_7,375,88,55,40809,33933181,831.512191,0,inf,18309,84930208,4638.713638,957551,88.695232,0.207
Puzzle_8,782,230,139,246660,389713599,1579.962698,0,inf,310687,3108147954,10004.113317,30815116,100.864392,4.155
Puzzle_9,632,243,87,887684,867326846,977.067116,0,inf,451551,2156635430,4776.061685,25756360,83.732151,3.704
Puzzle_10,1583,512,299,1455351,3048544731,2094.714424,0,inf,925524,13627769173,14724.382267,144382632,94.386485,21.296
Puzzle_12,935,224,109,668534,1112086173,1663.469880,0,inf,642072,6539386981,10184.818807,63472224,103.027538,5.728
Puzzle_17,552,213,78,102476,84513814,824.718119,0,inf,69737,325634267,4669.461936,3800838,85.674335,0.290
Puzzle_21,644,149,97,412821,519261614,1257.837208,0,inf,159887,1413650476,8841.559827,13333961,106.018795,2.073
Puzzle_33,733,174,121,479112,608185811,1269.402167,0,inf,447735,3448974174,7703.159623,35447778,97.297331,4.801
Puzzle_38,396,89,67,305061,252626267,828.117219,0,inf,209826,979150707,4666.488934,9431234,103.819999,1.035
Puzzle_43,610,146,115,379316,509400655,1342.945341,0,inf,316590,2948387247,9312.951284,26594858,110.863057,3.317
Puzzle_45,865,300,161,297207,307155992,1033.474959,0,inf,105482,854708840,8102.888076,8766918,97.492510,1.770
Puzzle_49,683,128,86,659448,652253199,989.089661,0,inf,344609,2199903242,6383.766071,22403120,98.196289,2.784
Puzzle_51,413,118,86,24597,29827526,1212.648941,0,inf,34222,239782124,7006.666004,2262380,105.986671,0.259
Puzzle_53,1103,202,163,330643,606073747,1833.015509,0,inf,89944,1222824260,13595.395579,11420422,107.073474,1.986
Puzzle_55,420,120,90,3836,7131042,1858.978624,0,inf,4568,55476396,12144.570053,554283,100.086772,0.180
Puzzle_56,801,207,156,40130,74288841,1851.204610,0,inf,28630,342084652,11948.468460,3242992,105.484273,0.559
Puzzle_57,720,225,177,117865,210246759,1783.792975,0,inf,87084,1136434672,13049.867622,10579743,107.416094,1.333
Puzzle_58,830,199,119,122823,215380338,1753.583107,0,inf,66531,874258370,13140.616705,8233948,106.177300,1.225
Puzzle_59,997,230,179,685292,949525385,1385.577805,0,inf,313072,3527643267,11267.833811,33752194,104.515969,8.105
Puzzle_60,523,152,127,72333,114508224,1583.070300,0,inf,35308,429519206,12164.925966,3983172,107.833457,0.498
Puzzle_61,923,263,187,133591,196421240,1470.317911,0,inf,35440,379984749,10721.917297,3896926,97.508844,0.946
Puzzle_62,725,245,129,147260,236552652,1606.360532,0,inf,92079,1055307884,11460.896448,10177819,103.687036,1.037
Puzzle_63,1627,431,382,278176,590809600,2123.869780,0,inf,327096,4622676957,14132.477796,43299673,106.760089,3.495
Puzzle_64,716,137,153,437395,562945144,1287.040647,0,inf,280494,2521181196,8988.360521,26384852,95.554116,3.701
Puzzle_65,721,211,122,18520,27718157,1496.660745,0,inf,14627,136997382,9366.061530,1427847,95.946822,0.314
Puzzle_68,1304,341,217,599397,1089248234,1817.240050,0,inf,689249,7581970916,11000.336476,80022813,94.747618,6.215
Puzzle_70,1127,333,250,128986,213197986,1652.876948,0,inf,88077,949634785,10781.870239,10380755,91.480320,1.064
Puzzle_72,943,296,104,25783,43345479,1681.165070,0,inf,22883,214521204,9374.697548,2382004,90.059128,0.481
Puzzle_73,1452,441,187,90757,160909606,1772.971848,0,inf,79176,955947290,12073.700237,10007236,95.525607,0.808
Puzzle_78,492,136,58,14700,15975957,1086.799796,0,inf,8319,61015956,7334.530112,650854,93.747532,0.093
Puzzle_79,562,174,92,80144,115807719,1444.995496,0,inf,20646,179717190,8704.697762,1869652,96.123337,0.252
Puzzle_80,637,231,78,42795,50291012,1175.160930,0,inf,35991,272597434,7574.044456,3211773,84.874440,0.315
Puzzle_81,815,173,128,82292,108838964,1322.594712,0,inf,57055,519825293,9110.950714,5218611,99.609895,0.507
Puzzle_82,406,143,70,18740,21124728,1127.253362,0,inf,10985,66685362,6070.583705,714266,93.362084,0.154
Puzzle_83,507,194,74,10683,12172599,1139.436394,0,inf,10686,70193860,6568.768482,870179,80.666001,0.092
Puzzle_84,509,157,88,10635,14973834,1407.976869,0,inf,11680,97774206,8371.079281,1029108,95.008693,0.175
