Name,Moves,Pushes,Treedepth,MarkReach calls,MarkReach cycles,Avg cycles/call,loops,Approx cycles/loop,Stones loops,Avg stones,unused,unused,unused,total time(s)
Puzzle_1,263,97,44,3423,2036277,594.880806,0,inf,0,0,1666.076440,84989,34.364824,0.025
Puzzle_2,540,131,76,11881,7067304,594.840838,0,inf,0,0,2187.019414,601699,38.193848,0.050
Puzzle_3,377,134,67,15372,8266524,537.765027,0,inf,0,0,1695.756930,762270,38.521425,0.058
Puzzle_4,927,355,185,67609,41961816,620.654292,0,inf,0,0,2934.938043,2911941,32.714337,0.218
Puzzle_5,422,143,69,36448,19589481,537.463811,0,inf,0,0,2169.860367,2271587,38.090266,0.139
Puzzle_6,346,110,60,7922,4581744,578.356981,0,inf,0,0,1597.123530,381345,33.123943,0.040
Puzzle_7,375,88,55,40809,25020054,613.101375,0,inf,0,0,1850.234803,957551,35.377697,0.116
Puzzle_8,782,230,139,246660,166665546,675.689394,0,inf,0,0,4202.854503,30815116,42.374407,1.721
Puzzle_9,632,243,87,887684,506295282,570.355309,0,inf,0,0,1879.998286,25756360,32.959436,1.693
Puzzle_10,1583,512,299,1455351,1550709861,1065.522930,0,inf,0,0,5840.354078,144382632,37.437937,8.827
Puzzle_12,935,224,109,668534,532229133,796.113785,0,inf,0,0,4188.583603,63472224,42.370853,2.648
Puzzle_17,552,213,78,102476,57602868,562.110816,0,inf,0,0,1594.496236,3800838,29.255492,0.145
Puzzle_21,644,149,97,412821,287112054,695.488006,0,inf,0,0,3749.889222,13333961,44.964774,0.914
Puzzle_33,733,174,121,479112,323170752,674.520262,0,inf,0,0,3237.929733,35447778,40.897753,2.190
Puzzle_38,396,89,67,305061,156189396,511.993982,0,inf,0,0,1681.554488,9431234,37.411207,0.467
Puzzle_43,610,146,115,379316,270907818,714.200872,0,inf,0,0,4073.105752,26594858,48.486988,1.485
Puzzle_45,865,300,161,297207,177474519,597.141114,0,inf,0,0,3369.538243,8766918,40.541686,0.778
Puzzle_49,683,128,86,659448,400631664,607.525785,0,inf,0,0,2382.205389,22403120,36.643531,1.253
Puzzle_51,413,118,86,24597,14130618,574.485425,0,inf,0,0,3023.318246,2262380,45.732369,0.143
Puzzle_53,1103,202,163,330643,292501056,884.643123,0,inf,0,0,5731.799286,11420422,45.142023,0.926
Puzzle_55,420,120,90,3836,3608121,940.594630,0,inf,0,0,4486.094790,554283,36.971152,0.121
Puzzle_56,801,207,156,40130,29501442,735.146823,0,inf,0,0,4945.828187,3242992,43.663093,0.305
Puzzle_57,720,225,177,117865,86275326,731.984270,0,inf,0,0,5631.891760,10579743,46.357238,0.633
Puzzle_58,830,199,119,122823,94154043,766.583156,0,inf,0,0,5586.153132,8233948,45.136592,0.627
Puzzle_59,997,230,179,685292,524006157,764.646540,0,inf,0,0,4550.312631,33752194,42.206900,3.100
Puzzle_60,523,152,127,72333,58485975,808.565592,0,inf,0,0,5048.398692,3983172,44.750481,0.281
Puzzle_61,923,263,187,133591,106043601,793.793003,0,inf,0,0,4527.600423,3896926,41.175572,0.492
Puzzle_62,725,245,129,147260,108361743,735.853205,0,inf,0,0,4555.616232,10177819,41.214782,0.487
Puzzle_63,1627,431,382,278176,227574543,818.095533,0,inf,0,0,6108.749908,43299673,46.146946,1.620
Puzzle_64,716,137,153,437395,298726491,682.967320,0,inf,0,0,3767.702988,26384852,40.053970,1.595
Puzzle_65,721,211,122,18520,12735201,687.645842,0,inf,0,0,4067.081561,1427847,41.663569,0.190
Puzzle_68,1304,341,217,599397,520393683,868.195341,0,inf,0,0,4396.806240,80022813,37.870380,2.698
Puzzle_70,1127,333,250,128986,138833898,1076.348580,0,inf,0,0,4317.824347,10380755,36.635198,0.536
Puzzle_72,943,296,104,25783,25083288,972.861498,0,inf,0,0,3729.737447,2382004,35.830159,0.278
Puzzle_73,1452,441,187,90757,81599538,899.099111,0,inf,0,0,4766.573507,10007236,37.712534,0.389
Puzzle_78,492,136,58,14700,10628562,723.031429,0,inf,0,0,3006.802019,650854,38.431946,0.061
Puzzle_79,562,174,92,80144,57680343,719.708812,0,inf,0,0,3690.100552,1869652,40.748661,0.143
Puzzle_80,637,231,78,42795,27683355,646.882930,0,inf,0,0,2940.132366,3211773,32.947006,0.174
Puzzle_81,815,173,128,82292,65544885,796.491579,0,inf,0,0,4072.241591,5218611,44.521760,0.274
Puzzle_82,406,143,70,18740,11152146,595.098506,0,inf,0,0,2721.261356,714266,41.851433,0.099
Puzzle_83,507,194,74,10683,8714505,815.735748,0,inf,0,0,2483.284110,870179,30.495305,0.064
Puzzle_84,509,157,88,10635,6457395,607.183357,0,inf,0,0,3283.805651,1029108,37.269995,0.103
