Name,Moves,Pushes,Treedepth,#call of MarkReach(),#cycles of MarkReach(),Avg #cycles/call,#loop,Avg #cycle/loop,#call of Moves(),#cycles of Moves(),Avg #cycles/call,#loop,Avg #cycle/loop,total time(s)
Puzzle_1,263,97,44,3423,1976156,577.316973,0,inf,1753,7734070,4411.905305,84989,91.000835,0.026
Puzzle_2,540,131,76,11881,6750246,568.154701,0,inf,10508,57469136,5469.084126,601699,95.511437,0.070
Puzzle_3,377,134,67,15372,8553686,556.445876,0,inf,17316,72195364,4169.286440,762270,94.711013,0.092
Puzzle_4,927,355,185,67609,42445400,627.806949,0,inf,32458,246361818,7590.172469,2911941,84.603987,0.351
Puzzle_5,422,143,69,36448,20251330,555.622531,0,inf,39876,217247750,5448.082807,2271587,95.636993,0.257
Puzzle_6,346,110,60,7922,4457992,562.735673,0,inf,7909,33892426,4285.298521,381345,88.876020,0.052
Puzzle_7,375,88,55,40809,24574482,602.182901,0,inf,18309,83873922,4581.021465,957551,87.592120,0.202
Puzzle_8,782,230,139,246660,171331636,694.606487,0,inf,310687,3097349439,9969.356423,30815116,100.513963,4.053
Puzzle_9,632,243,87,887684,515726815,580.980186,0,inf,451551,2140974397,4741.378930,25756360,83.124106,3.535
Puzzle_10,1583,512,299,1455351,1509398075,1037.136797,0,inf,925524,13552382621,14642.929433,144382632,93.864355,20.564
Puzzle_12,935,224,109,668534,531762682,795.416063,0,inf,642072,6504371377,10130.283484,63472224,102.475870,5.429
Puzzle_17,552,213,78,102476,58637792,572.210000,0,inf,69737,321510709,4610.331804,3800838,84.589427,0.275
Puzzle_21,644,149,97,412821,287961757,697.546290,0,inf,159887,1403422438,8777.589410,13333961,105.251728,1.963
Puzzle_33,733,174,121,479112,323900268,676.042904,0,inf,447735,3432088076,7665.445132,35447778,96.820965,4.644
Puzzle_38,396,89,67,305061,161857930,530.575623,0,inf,209826,963458407,4591.701729,9431234,102.156134,0.982
Puzzle_43,610,146,115,379316,266783688,703.328328,0,inf,316590,2935792328,9273.168224,26594858,110.389472,3.193
Puzzle_45,865,300,161,297207,178407731,600.281053,0,inf,105482,849677296,8055.187577,8766918,96.918586,1.708
Puzzle_49,683,128,86,659448,408953963,620.145884,0,inf,344609,2171589165,6301.603165,22403120,96.932444,2.655
Puzzle_51,413,118,86,24597,14040600,570.825710,0,inf,34222,238384286,6965.819824,2262380,105.368809,0.252
Puzzle_53,1103,202,163,330643,285613108,863.811144,0,inf,89944,1211770648,13472.501201,11420422,106.105593,1.807
Puzzle_55,420,120,90,3836,3562778,928.774244,0,inf,4568,55057380,12052.841506,554283,99.330811,0.178
Puzzle_56,801,207,156,40130,29357998,731.572340,0,inf,28630,339544448,11859.743206,3242992,104.700982,0.561
Puzzle_57,720,225,177,117865,84605560,717.817503,0,inf,87084,1132000996,12998.954986,10579743,106.997022,1.275
Puzzle_58,830,199,119,122823,93407732,760.506843,0,inf,66531,867176752,13034.175828,8233948,105.317249,1.165
Puzzle_59,997,230,179,685292,518959301,757.282007,0,inf,313072,3499743852,11178.718800,33752194,103.689374,7.907
Puzzle_60,523,152,127,72333,57977336,801.533684,0,inf,35308,426634027,12083.211369,3983172,107.109115,0.471
Puzzle_61,923,263,187,133591,102336701,766.044876,0,inf,35440,377510389,10652.099012,3896926,96.873892,0.898
Puzzle_62,725,245,129,147260,107549074,730.334605,0,inf,92079,1046536985,11365.642383,10177819,102.825270,0.974
Puzzle_63,1627,431,382,278176,224177958,805.885332,0,inf,327096,4605462962,14079.851059,43299673,106.362534,3.339
Puzzle_64,716,137,153,437395,297231459,679.549284,0,inf,280494,2512710174,8958.160153,26384852,95.233059,3.565
Puzzle_65,721,211,122,18520,11614150,627.113931,0,inf,14627,135975442,9296.194845,1427847,95.231101,0.308
Puzzle_68,1304,341,217,599397,509379004,849.819075,0,inf,689249,7572802744,10987.034793,80022813,94.633049,5.931
Puzzle_70,1127,333,250,128986,134835414,1045.349216,0,inf,88077,941980267,10694.963123,10380755,90.742944,1.044
Puzzle_72,943,296,104,25783,24408188,946.677578,0,inf,22883,212507462,9286.695888,2382004,89.213730,0.474
Puzzle_73,1452,441,187,90757,79278754,873.527706,0,inf,79176,941698202,11893.732975,10007236,94.101728,0.763
Puzzle_78,492,136,58,14700,9941522,676.294014,0,inf,8319,60607464,7285.426614,650854,93.119907,0.089
Puzzle_79,562,174,92,80144,54273371,677.198181,0,inf,20646,178997948,8669.860893,1869652,95.738644,0.238
Puzzle_80,637,231,78,42795,26969370,630.199089,0,inf,35991,271240802,7536.350810,3211773,84.452046,0.305
Puzzle_81,815,173,128,82292,59094486,718.107301,0,inf,57055,516427886,9051.404539,5218611,98.958877,0.483
Puzzle_82,406,143,70,18740,10404466,555.200961,0,inf,10985,66172222,6023.870915,714266,92.643668,0.148
Puzzle_83,507,194,74,10683,8728767,817.070767,0,inf,10686,69767607,6528.879562,870179,80.176156,0.090
Puzzle_84,509,157,88,10635,6569836,617.756088,0,inf,11680,97607156,8356.777055,1029108,94.846368,0.172
