Name,Moves,Pushes,Treedepth,#call of MarkReach(),#cycles of MarkReach(),Avg #cycles/call,#loop,Avg #cycle/loop,#call of Moves(),#cycles of Moves(),Avg #cycles/call,#loop,Avg #cycle/loop,total time(s)
Puzzle_1,263,97,44,3423,7493968,2189.298276,159077,47.109060,1753,6670018,3804.916144,84989,78.480956,0.029
Puzzle_2,540,131,76,11881,31999782,2693.357630,595063,53.775452,10508,54162326,5154.389608,601699,90.015649,0.082
Puzzle_3,377,134,67,15372,36031292,2343.956024,644964,55.865586,17316,67214680,3881.651652,762270,88.176998,0.104
Puzzle_4,927,355,185,67609,233745637,3457.315402,4083163,57.246217,32458,267023977,8226.753867,2911941,91.699652,0.463
Puzzle_5,422,143,69,36448,103283440,2833.720369,1910189,54.069749,39876,196427920,4925.968502,2271587,86.471669,0.294
Puzzle_6,346,110,60,7922,19868698,2508.040646,354903,55.983460,7909,32738406,4139.386269,381345,85.849837,0.062
Puzzle_7,375,88,55,40809,97516640,2389.586611,1896344,51.423497,18309,78292172,4276.157737,957551,81.762926,0.238
Puzzle_8,782,230,139,246660,1231960256,4994.568459,20992279,58.686351,310687,2915140949,9382.886793,30815116,94.601005,4.651
Puzzle_9,632,243,87,887684,2692839467,3033.556386,46554936,57.842190,451551,2343051159,5188.895959,25756360,90.969809,4.793
Puzzle_10,1583,512,299,1455351,11251185139,7730.908309,198954884,56.551440,925524,13563079390,14654.486961,144382632,93.938441,26.364
Puzzle_12,935,224,109,668534,3611007038,5401.381288,65452377,55.169991,642072,6140554187,9563.653589,63472224,96.743958,6.873
Puzzle_17,552,213,78,102476,251184406,2451.153499,5112756,49.128964,69737,302477063,4337.397121,3800838,79.581677,0.355
Puzzle_21,644,149,97,412821,1778006092,4306.966196,31584133,56.294282,159887,1354493653,8471.568376,13333961,101.582242,2.701
Puzzle_33,733,174,121,479112,1813949724,3786.066147,33187068,54.658330,447735,3308767234,7390.012472,35447778,93.342021,5.562
Puzzle_38,396,89,67,305061,711745183,2333.124139,13066623,54.470477,209826,941997704,4489.423160,9431234,99.880642,1.248
Puzzle_43,610,146,115,379316,1571310433,4142.483926,28979697,54.221079,316590,2790571427,8814.464850,26594858,104.928984,3.944
Puzzle_45,865,300,161,297207,1027090125,3455.807316,17567188,58.466393,105482,826510865,7835.563082,8766918,94.276103,2.216
Puzzle_49,683,128,86,659448,2176744796,3300.858894,38402583,56.682250,344609,2220013945,6442.124103,22403120,99.093963,3.547
Puzzle_51,413,118,86,24597,85725164,3485.187787,1504194,56.990763,34222,221497064,6472.358833,2262380,97.904448,0.281
Puzzle_53,1103,202,163,330643,2271423124,6869.714840,40290117,56.376682,89944,1136443922,12635.016477,11420422,99.509801,2.804
Puzzle_55,420,120,90,3836,22760936,5933.507821,450916,50.477109,4568,49537401,10844.439799,554283,89.372037,0.183
Puzzle_56,801,207,156,40130,228253169,5687.843733,4271893,53.431387,28630,322079938,11249.735871,3242992,99.315675,0.637
Puzzle_57,720,225,177,117865,710514429,6028.205396,12764248,55.664417,87084,1048967375,12045.466159,10579743,99.148663,1.628
Puzzle_58,830,199,119,122823,729950915,5943.112568,13706709,53.255009,66531,797349927,11984.637643,8233948,96.836891,1.468
Puzzle_59,997,230,179,685292,3021090879,4408.472416,52934391,57.072365,313072,3388123209,10822.185341,33752194,100.382310,9.588
Puzzle_60,523,152,127,72333,403411781,5577.147097,7193013,56.083839,35308,403181427,11418.982299,3983172,101.221194,0.624
Puzzle_61,923,263,187,133591,668234260,5002.090410,12539233,53.291478,35440,364987013,10298.730615,3896926,93.660237,1.195
Puzzle_62,725,245,129,147260,747451669,5075.727754,15098645,49.504553,92079,949106014,10307.518696,10177819,93.252397,1.256
Puzzle_63,1627,431,382,278176,1974784259,7099.046140,35678763,55.349011,327096,4298223021,13140.555131,43299673,99.266870,4.140
Puzzle_64,716,137,153,437395,1900118065,4344.169606,33066912,57.462822,280494,2640073350,9412.227534,26384852,100.060192,4.669
Puzzle_65,721,211,122,18520,89532706,4834.379374,1665082,53.770749,14627,135079140,9234.917618,1427847,94.603371,0.361
Puzzle_68,1304,341,217,599397,3688419192,6153.549637,67202928,54.884799,689249,7508711479,10894.047694,80022813,93.832136,7.562
Puzzle_70,1127,333,250,128986,692129067,5365.923953,13701360,50.515355,88077,904102577,10264.911123,10380755,87.094106,1.302
Puzzle_72,943,296,104,25783,133030177,5159.608153,2475045,53.748589,22883,216967790,9481.614736,2382004,91.086241,0.537
Puzzle_73,1452,441,187,90757,589765316,6498.290115,10332549,57.078395,79176,1031456079,13027.383033,10007236,103.071026,1.062
Puzzle_78,492,136,58,14700,52349368,3561.181497,1040918,50.291539,8319,57349776,6893.830508,650854,88.114656,0.107
Puzzle_79,562,174,92,80144,425923135,5314.473136,7461732,57.081001,20646,180864964,8760.290807,1869652,96.737235,0.391
Puzzle_80,637,231,78,42795,166587989,3892.697488,2958676,56.304911,35991,289442294,8042.074241,3211773,90.119163,0.383
Puzzle_81,815,173,128,82292,371973375,4520.164475,6681192,55.674702,57055,487226110,8539.586539,5218611,93.363178,0.623
Puzzle_82,406,143,70,18740,63627358,3395.269904,1099700,57.858832,10985,69759596,6350.441147,714266,97.666130,0.186
Puzzle_83,507,194,74,10683,37013772,3464.735748,746349,49.593115,10686,66799248,6251.099382,870179,76.764951,0.103
Puzzle_84,509,157,88,10635,49307906,4636.380442,862977,57.136987,11680,98408324,8425.370205,1029108,95.624875,0.192
