Name,Moves,Pushes,Treedepth,#call of MarkReach(),#cycles of MarkReach(),Avg #cycles/call,#loop,Avg #cycle/loop,#call of Moves(),#cycles of Moves(),Avg #cycles/call,#loop,Avg #cycle/loop,total time(s)
Puzzle_1,263,97,44,3423,8049363,2351.552147,159077,50.600420,1753,2939750,1676.982316,84989,34.589770,0.054
Puzzle_2,540,131,76,11881,32236478,2713.279859,595063,54.173219,10508,22005930,2094.207271,601699,36.572987,0.075
Puzzle_3,377,134,67,15372,39793050,2588.670960,644964,61.698095,17316,31420788,1814.552322,762270,41.220024,0.100
Puzzle_4,927,355,185,67609,254327602,3761.741810,4083163,62.286909,32458,111389486,3431.803746,2911941,38.252659,0.399
Puzzle_5,422,143,69,36448,104882448,2877.591308,1910189,54.906843,39876,84603494,2121.664510,2271587,37.244224,0.242
Puzzle_6,346,110,60,7922,19394758,2448.214845,354903,54.648053,7909,12470696,1576.772790,381345,32.701874,0.051
Puzzle_7,375,88,55,40809,98233814,2407.160528,1896344,51.801685,18309,32322808,1765.405429,957551,33.755704,0.205
Puzzle_8,782,230,139,246660,1341826709,5439.985036,20992279,63.920011,310687,1332288037,4288.200140,30815116,43.234886,4.158
Puzzle_9,632,243,87,887684,2986719287,3364.619940,46554936,64.154729,451551,999573040,2213.643730,25756360,38.808785,4.399
Puzzle_10,1583,512,299,1455351,11981758491,8232.899480,198954884,60.223495,925524,5936094593,6413.766248,144382632,41.113633,24.038
Puzzle_12,935,224,109,668534,3858965359,5772.279883,65452377,58.958368,642072,2793966150,4351.484179,63472224,44.018721,5.525
Puzzle_17,552,213,78,102476,271201478,2646.487743,5112756,53.044088,69737,133368878,1912.455053,3800838,35.089335,0.283
Puzzle_21,644,149,97,412821,1939918383,4699.175631,31584133,61.420663,159887,607772120,3801.260390,13333961,45.580763,2.378
Puzzle_33,733,174,121,479112,2085174009,4352.164022,33187068,62.830920,447735,1567079379,3500.015364,35447778,44.208113,5.208
Puzzle_38,396,89,67,305061,763105734,2501.485716,13066623,58.401144,209826,425530630,2028.016690,9431234,45.119295,1.009
Puzzle_43,610,146,115,379316,1656371846,4366.733399,28979697,57.156286,316590,1285963976,4061.922284,26594858,48.353858,3.394
Puzzle_45,865,300,161,297207,1114027267,3748.321093,17567188,63.415230,105482,369451866,3502.511007,8766918,42.141590,2.109
Puzzle_49,683,128,86,659448,2224746478,3373.649595,38402583,57.932209,344609,954160327,2768.820103,22403120,42.590511,3.010
Puzzle_51,413,118,86,24597,89288120,3630.041062,1504194,59.359444,34222,100507174,2936.917012,2262380,44.425417,0.230
Puzzle_53,1103,202,163,330643,2429925355,7349.090575,40290117,60.310705,89944,521117822,5793.803055,11420422,45.630347,2.553
Puzzle_55,420,120,90,3836,23266410,6065.278936,450916,51.598103,4568,20842829,4562.790937,554283,37.603226,0.218
Puzzle_56,801,207,156,40130,261382116,6513.384401,4271893,61.186485,28630,147444486,5149.999511,3242992,45.465572,0.571
Puzzle_57,720,225,177,117865,800944600,6795.440546,12764248,62.749063,87084,487099742,5593.447040,10579743,46.040792,1.490
Puzzle_58,830,199,119,122823,816136954,6644.821849,13706709,59.542882,66531,374111930,5623.122003,8233948,45.435304,1.294
Puzzle_59,997,230,179,685292,3323465144,4849.706613,52934391,62.784611,313072,1524777517,4870.373323,33752194,45.175656,9.464
Puzzle_60,523,152,127,72333,419580378,5800.677118,7193013,58.331659,35308,179813643,5092.716750,3983172,45.143329,0.515
Puzzle_61,923,263,187,133591,715161670,5353.367143,12539233,57.033925,35440,161562745,4558.768200,3896926,41.459023,1.112
Puzzle_62,725,245,129,147260,765812818,5200.412997,15098645,50.720632,92079,423520986,4599.539374,10177819,41.612155,1.014
Puzzle_63,1627,431,382,278176,1990359785,7155.037764,35678763,55.785560,327096,1919454210,5868.167786,43299673,44.329531,3.091
Puzzle_64,716,137,153,437395,1963100620,4488.164291,33066912,59.367522,280494,1119437419,3990.949607,26384852,42.427277,4.029
Puzzle_65,721,211,122,18520,100831410,5444.460583,1665082,60.556423,14627,60167326,4113.442675,1427847,42.138497,0.327
Puzzle_68,1304,341,217,599397,3651847357,6092.535260,67202928,54.340599,689249,3064223383,4445.742225,80022813,38.291873,5.572
Puzzle_70,1127,333,250,128986,839231536,6506.376940,13701360,61.251696,88077,437536435,4967.658242,10380755,42.148807,1.196
Puzzle_72,943,296,104,25783,133761915,5187.988791,2475045,54.044236,22883,86536816,3781.707643,2382004,36.329417,0.508
Puzzle_73,1452,441,187,90757,641555487,7068.936688,10332549,62.090728,79176,420959024,5316.750328,10007236,42.065464,0.826
Puzzle_78,492,136,58,14700,55654148,3785.996463,1040918,53.466409,8319,25210020,3030.414713,650854,38.733756,0.092
Puzzle_79,562,174,92,80144,442903372,5526.344729,7461732,59.356644,20646,77849228,3770.668798,1869652,41.638352,0.360
Puzzle_80,637,231,78,42795,178021512,4159.867087,2958676,60.169316,35991,121536829,3376.867245,3211773,37.841040,0.312
Puzzle_81,815,173,128,82292,381257672,4632.985855,6681192,57.064319,57055,219269932,3843.132626,5218611,42.016914,0.492
Puzzle_82,406,143,70,18740,67953563,3626.123959,1099700,61.792819,10985,30214464,2750.520164,714266,42.301417,0.192
Puzzle_83,507,194,74,10683,42932481,4018.766358,746349,57.523332,10686,30600380,2863.595358,870179,35.165615,0.089
Puzzle_84,509,157,88,10635,52081704,4897.198307,862977,60.351208,11680,41589028,3560.704452,1029108,40.412695,0.169
