Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 37.50      0.15     0.15    30803     0.00     0.00  MarkReachGRoom
 12.50      0.20     0.05  2014657     0.00     0.00  GetOptDist
 12.50      0.25     0.05    11039     0.00     0.00  MarkReachDist
 10.00      0.29     0.04     3836     0.01     0.01  MarkReach
  7.50      0.32     0.03    16008     0.00     0.00  StoneReach
  7.50      0.35     0.03     4568     0.01     0.01  Moves
  7.50      0.38     0.03     3387     0.01     0.02  PickUpEntrances
  2.50      0.39     0.01    61290     0.00     0.00  GetScew
  2.50      0.40     0.01      169     0.06     0.06  init_stats
  0.00      0.40     0.00   173438     0.00     0.00  DiffToDir
  0.00      0.40     0.00    57926     0.00     0.00  NewAddScew
  0.00      0.40     0.00    45868     0.00     0.00  GetManDir
  0.00      0.40     0.00    38988     0.00     0.00  EntrComp
  0.00      0.40     0.00    32418     0.00     0.00  BitAndNotEqBS
  0.00      0.40     0.00    32086     0.00     0.00  BitOrEqBS
  0.00      0.40     0.00    30995     0.00     0.00  BitNotAndNotBS
  0.00      0.40     0.00    30803     0.00     0.00  CleanReach
  0.00      0.40     0.00    21398     0.00     0.00  PenCompare
  0.00      0.40     0.00    13673     0.00     0.00  Frozen
  0.00      0.40     0.00    13406     0.00     0.00  Isnt0BS
  0.00      0.40     0.00    13387     0.00     0.00  BitAndNotBS
  0.00      0.40     0.00    13371     0.00     0.00  IncNodeCount
  0.00      0.40     0.00    11350     0.00     0.00  BitOrAndEqBS
  0.00      0.40     0.00    11350     0.00     0.00  DeadLock
  0.00      0.40     0.00    11337     0.00     0.00  DeadLock2
  0.00      0.40     0.00    11337     0.00     0.00  SubMacro
  0.00      0.40     0.00    11307     0.00     0.00  XDistMan
  0.00      0.40     0.00    10770     0.00     0.00  GenAllSquares
  0.00      0.40     0.00    10655     0.00     0.00  IncCounter
  0.00      0.40     0.00    10470     0.00     0.00  GroomIncPos
  0.00      0.40     0.00    10455     0.00     0.00  GroomExcPos
  0.00      0.40     0.00    10000     0.00     0.00  GGGetHashTable
  0.00      0.40     0.00     7740     0.00     0.00  BitNotAndNotAndNotBS
  0.00      0.40     0.00     7142     0.00     0.02  GoalReach
  0.00      0.40     0.00     6258     0.00     0.00  BitAndNotButOrBS
  0.00      0.40     0.00     6258     0.00     0.00  GetPenalty
  0.00      0.40     0.00     6258     0.00     0.00  LogAndNotAndNotBS
  0.00      0.40     0.00     6253     0.00     0.00  DistantSquares
  0.00      0.40     0.00     5851     0.00     0.00  AbortSearch
  0.00      0.40     0.00     4936     0.00     0.00  UpdateHashKey
