Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 28.27      2.70     2.70   913845     0.00     0.00  GetPenalty
 23.46      4.94     2.24   310687     0.00     0.00  Moves
 12.57      6.14     1.20   246660     0.00     0.00  MarkReach
  7.96      6.90     0.76 32463226     0.00     0.00  AllBitsSetBS
  4.29      7.31     0.41   101398     0.00     0.00  MarkReachGRoom
  3.56      7.65     0.34   810883     0.00     0.00  UnReach
  1.99      7.84     0.19   629248     0.00     0.00  PenUpdateLowerBound
  1.47      7.98     0.14  2249654     0.00     0.00  BitOrAndEqBS
  1.36      8.11     0.13   229709     0.00     0.00  My_qsort
  1.36      8.24     0.13    40331     0.00     0.00  PenLowerBound
  1.15      8.35     0.11  3135943     0.00     0.00  Frozen
  1.15      8.46     0.11   232186     0.00     0.00  GenerateMoves
  1.05      8.56     0.10  1481738     0.00     0.00  BitOrEqBS
  0.94      8.65     0.09   338990     0.00     0.00  MarkReachQuick
  0.73      8.72     0.07   165209     0.00     0.00  PenMoveOrdering
  0.63      8.78     0.06   900274     0.00     0.00  BitNotAndNotAndNotBS
  0.63      8.84     0.06   602391     0.00     0.00  BitAndNotEqBS
  0.52      8.89     0.05  2568795     0.00     0.00  GetOptDist
  0.52      8.94     0.05   214350     0.00     0.00  DeadUpdateLowerBound
  0.42      8.98     0.04  4734234     0.00     0.00  PenCompare
  0.42      9.02     0.04  1973278     0.00     0.00  DeadLock2
  0.42      9.06     0.04   913845     0.00     0.00  BitAndNotButOrBS
  0.42      9.10     0.04   913845     0.00     0.00  LogAndNotAndNotBS
  0.42      9.14     0.04   877208     0.00     0.00  GenAllSquares
  0.42      9.18     0.04   331939     0.00     0.00  PenMakeMove
  0.42      9.22     0.04    25854     0.00     0.00  StoneReach
  0.42      9.26     0.04     6215     0.00     0.00  init_stats
  0.21      9.28     0.02  1731044     0.00     0.00  DeadCompare
  0.21      9.30     0.02   268787     0.00     0.00  PSGetHashTable
  0.21      9.32     0.02   130982     0.00     0.00  PushesMoves
  0.21      9.34     0.02    61419     0.00     0.00  GetScew
  0.21      9.36     0.02    15097     0.00     0.00  DeadLowerBound
  0.21      9.38     0.02     6307     0.00     0.00  PenIda
  0.21      9.40     0.02     4314     0.00     0.00  ValidateEntrances
  0.10      9.41     0.01  2249654     0.00     0.00  DeadLock
  0.10      9.42     0.01  1973278     0.00     0.00  SubMacro
  0.10      9.43     0.01    80258     0.00     0.00  NumberBitsBS
  0.10      9.44     0.01    66759     0.00     0.00  DeadMoveOrdering
  0.10      9.45     0.01    33284     0.00     0.00  Maximize
  0.10      9.46     0.01    14357     0.00     0.00  Isnt0BS
  0.10      9.47     0.01     5701     0.00     0.00  PenDeactivateStones
  0.10      9.48     0.01     5261     0.00     0.00  PenStartIda
  0.10      9.49     0.01     4970     0.00     0.00  GoalReach
  0.10      9.50     0.01     4314     0.00     0.00  PickUpEntrances
  0.10      9.51     0.01     1168     0.00     0.00  DeadIda
  0.10      9.52     0.01      834     0.00     0.00  FindBestSquare
  0.10      9.53     0.01        1     0.01     0.09  GrowDFS
  0.10      9.54     0.01        1     0.01     0.08  SetDistDistances
  0.10      9.55     0.01                             EqualBS
  0.00      9.55     0.00  2104576     0.00     0.00  GetManDir
  0.00      9.55     0.00   844548     0.00     0.00  UpdateHashKey
  0.00      9.55     0.00   699476     0.00     0.00  AbortSearch
  0.00      9.55     0.00   590248     0.00     0.00  DiffToDir
  0.00      9.55     0.00   468266     0.00     0.00  BitNext
  0.00      9.55     0.00   446501     0.00     0.00  DeadTree
  0.00      9.55     0.00   399080     0.00     0.00  IncNodeCount
  0.00      9.55     0.00   331939     0.00     0.00  PenUnMakeMove
  0.00      9.55     0.00   324552     0.00     0.00  PSStoreHashTable
  0.00      9.55     0.00   314624     0.00     0.00  UpdateReach
  0.00      9.55     0.00   300900     0.00     0.00  LogAndBS
  0.00      9.55     0.00   192041     0.00     0.00  PenIsGoalNode
  0.00      9.55     0.00   146144     0.00     0.00  Debug
  0.00      9.55     0.00   130843     0.00     0.00  SetManStoneSquares
  0.00      9.55     0.00   116211     0.00     0.00  PSSetPathFlag
  0.00      9.55     0.00   114226     0.00     0.00  DeadMakeMove
  0.00      9.55     0.00   114226     0.00     0.00  DeadUnMakeMove
  0.00      9.55     0.00   107670     0.00     0.00  BitNotAndNotBS
  0.00      9.55     0.00   101398     0.00     0.00  CleanReach
  0.00      9.55     0.00    78514     0.00     0.00  DeadIsGoalNode
  0.00      9.55     0.00    70746     0.00     0.00  XDistMan
  0.00      9.55     0.00    58837     0.00     0.00  SubsetBS
  0.00      9.55     0.00    58394     0.00     0.00  NewAddScew
  0.00      9.55     0.00    55841     0.00     0.00  NormHashKey
  0.00      9.55     0.00    36291     0.00     0.00  EntrComp
  0.00      9.55     0.00    33953     0.00     0.00  DistantSquares
  0.00      9.55     0.00    33692     0.00     0.00  XDistStone
  0.00      9.55     0.00    33284     0.00     0.00  FindTransitiveClosure
  0.00      9.55     0.00    23173     0.00     0.00  PSUnSetPathFlag
  0.00      9.55     0.00    14314     0.00     0.00  BitAndNotBS
  0.00      9.55     0.00    10213     0.00     0.00  GroomIncPos
  0.00      9.55     0.00    10181     0.00     0.00  GroomExcPos
  0.00      9.55     0.00    10000     0.00     0.00  GGGetHashTable
  0.00      9.55     0.00     9713     0.00     0.00  IncCounter
  0.00      9.55     0.00     6347     0.00     0.00  print_stats
  0.00      9.55     0.00     4517     0.00     0.00  FindFarthestPosStone
  0.00      9.55     0.00     4313     0.00     0.00  EvaluateGroom
  0.00      9.55     0.00     4312     0.00     0.00  GGStoreHashTable
  0.00      9.55     0.00     3342     0.00     0.00  compare_negval
  0.00      9.55     0.00     2106     0.00     0.00  BitAndNotAndNotBS
  0.00      9.55     0.00     2025     0.00     0.00  FindClosestPosStone
  0.00      9.55     0.00     1787     0.00     0.00  Crowding
  0.00      9.55     0.00     1787     0.00     0.00  DistantMove
  0.00      9.55     0.00     1662     0.00     0.00  ValueSquareEntr
  0.00      9.55     0.00     1561     0.00     0.00  FindClosestPosMan
  0.00      9.55     0.00     1201     0.00     0.00  Communicating
  0.00      9.55     0.00     1201     0.00     0.00  GetBaseProps
  0.00      9.55     0.00     1064     0.00     0.00  ValueSquare
  0.00      9.55     0.00     1038     0.00     0.00  DeadStartIda
  0.00      9.55     0.00     1010     0.00     0.00  My_free
  0.00      9.55     0.00      995     0.00     0.00  DeadDeactivateStones
  0.00      9.55     0.00      951     0.00     0.00  MinMatch
  0.00      9.55     0.00      834     0.00     0.00  CreatePropGMacro
  0.00      9.55     0.00      816     0.00     0.00  NumberBitsInt
  0.00      9.55     0.00      655     0.00     0.00  InitIDA
  0.00      9.55     0.00      614     0.00     0.00  BetterUpdateLowerBound
  0.00      9.55     0.00      614     0.00     0.00  MakeMove
  0.00      9.55     0.00      519     0.00     0.00  Mprintf
  0.00      9.55     0.00      461     0.00     0.00  QualityCompare
  0.00      9.55     0.00      461     0.00     0.00  StoreHashTable
  0.00      9.55     0.00      424     0.00     0.00  AddConflict
  0.00      9.55     0.00      424     0.00     0.00  RemoveDuplicates
  0.00      9.55     0.00      419     0.00     0.00  RestoreMaze
  0.00      9.55     0.00      419     0.00     0.00  SaveMaze
  0.00      9.55     0.00      406     0.00     0.00  FindFirstSet
  0.00      9.55     0.00      406     0.00     0.00  FindPenalty
  0.00      9.55     0.00      406     0.00     0.00  InsertConflict
  0.00      9.55     0.00      357     0.00     0.00  RegisterMove
  0.00      9.55     0.00      339     0.00     0.00  IsGoalNodeNorm
  0.00      9.55     0.00      336     0.00     0.00  BetterUpdateLowerBound2
  0.00      9.55     0.00      336     0.00     0.00  UnMakeMove
  0.00      9.55     0.00      333     0.00     0.00  My_realloc
  0.00      9.55     0.00      330     0.00     0.00  MarkReachDist
  0.00      9.55     0.00      275     0.00     0.00  BuildGMTree
  0.00      9.55     0.00      275     0.00     0.00  GMGetHashTable
  0.00      9.55     0.00      274     0.00     0.00  CreateGMacro
  0.00      9.55     0.00      263     0.00     0.00  GetHashTable
  0.00      9.55     0.00      234     0.00     0.00  UpdateMaze
  0.00      9.55     0.00      221     0.00     0.00  AreaMove
  0.00      9.55     0.00      221     0.00     0.00  FindFringeStones
  0.00      9.55     0.00      218     0.00     0.00  NewMoveOrdering
  0.00      9.55     0.00      194     0.00     0.00  My_malloc
  0.00      9.55     0.00      190     0.00     0.00  PenMoveSuspected
  0.00      9.55     0.00      180     0.00     0.00  MarkReachPos
  0.00      9.55     0.00      179     0.00     0.00  LogAndNotBS
  0.00      9.55     0.00      160     0.00     0.00  DeadMoveSuspected
  0.00      9.55     0.00      154     0.00     0.00  WhichStones
  0.00      9.55     0.00      149     0.00     0.00  GMDelHashEntry
  0.00      9.55     0.00      149     0.00     0.00  GetGMTree
  0.00      9.55     0.00      140     0.00     0.00  BitOrBS
  0.00      9.55     0.00      139     0.00     0.00  HumanMove
  0.00      9.55     0.00      137     0.00     0.00  GMStoreHashTable
  0.00      9.55     0.00      137     0.00     0.00  GetProperties
  0.00      9.55     0.00      137     0.00     0.00  GetSquareValues
  0.00      9.55     0.00      124     0.00     0.00  RemoveConflict
  0.00      9.55     0.00      110     0.00     0.00  ResetHist
  0.00      9.55     0.00      104     0.00     0.00  PenMiniConflict
  0.00      9.55     0.00      103     0.00     0.05  PenMove
  0.00      9.55     0.00       88     0.00     0.00  WasTestedPen
  0.00      9.55     0.00       68     0.00     0.00  AddMoreStones
  0.00      9.55     0.00       65     0.00     0.00  PropStonesDone
  0.00      9.55     0.00       58     0.00     0.05  DeadMove
  0.00      9.55     0.00       54     0.00     0.00  SetPathFlag
  0.00      9.55     0.00       30     0.00     0.00  DeadMiniConflict
