Name,Moves,Pushes,Treedepth,#call of MarkReach(),#cycles of MarkReach(),Avg #cycles/call,#loop,Avg #cycle/loop,#call of Moves(),#cycles of Moves(),Avg #cycles/call,#loop,Avg #cycle/loop,total time(s)
Puzzle_1,263,97,44,3423,3148872,919.915863,159077,19.794640,1753,2550854,1455.136338,84989,30.013931,0.022
Puzzle_2,540,131,76,11881,13105756,1103.085262,595063,22.024149,10508,19236602,1830.662543,601699,31.970474,0.046
Puzzle_3,377,134,67,15372,15352398,998.724824,644964,23.803496,17316,26171660,1511.414876,762270,34.333845,0.055
Puzzle_4,927,355,185,67609,91571944,1354.434232,4083163,22.426718,32458,82325866,2536.381354,2911941,28.271818,0.226
Puzzle_5,422,143,69,36448,46089068,1264.515694,1910189,24.128015,39876,77384086,1940.618066,2271587,34.066089,0.150
Puzzle_6,346,110,60,7922,8327073,1051.132669,354903,23.462955,7909,11249692,1422.391200,381345,29.500038,0.039
Puzzle_7,375,88,55,40809,41114916,1007.496288,1896344,21.681149,18309,28817951,1573.977334,957551,30.095474,0.111
Puzzle_8,782,230,139,246660,536077576,2173.346209,20992279,25.536893,310687,1138231893,3663.596781,30815116,36.937453,1.727
Puzzle_9,632,243,87,887684,1047046025,1179.525625,46554936,22.490548,451551,762095836,1687.729262,25756360,29.588647,1.795
Puzzle_10,1583,512,299,1455351,4383098856,3011.712539,198954884,22.030617,925524,4833735049,5222.700923,144382632,33.478646,9.607
Puzzle_12,935,224,109,668534,1534940761,2295.980101,65452377,23.451261,642072,2436944602,3795.438209,63472224,38.393874,2.855
Puzzle_17,552,213,78,102476,100912582,984.743569,5112756,19.737414,69737,103998466,1491.295381,3800838,27.361983,0.157
Puzzle_21,644,149,97,412821,671276317,1626.071147,31584133,21.253593,159887,553528325,3461.997067,13333961,41.512670,1.022
Puzzle_33,733,174,121,479112,808178383,1686.825592,33187068,24.352208,447735,1268353778,2832.822491,35447778,35.780911,2.207
Puzzle_38,396,89,67,305061,291151902,954.405519,13066623,22.282108,209826,329291610,1569.355609,9431234,34.915008,0.501
Puzzle_43,610,146,115,379316,649271489,1711.690224,28979697,22.404357,316590,1174824374,3710.870129,26594858,44.174869,1.541
Puzzle_45,865,300,161,297207,389851201,1311.716080,17567188,22.192009,105482,314297706,2979.633549,8766918,35.850422,0.808
Puzzle_49,683,128,86,659448,812011259,1231.349946,38402583,21.144704,344609,763752851,2216.288173,22403120,34.091361,1.358
Puzzle_51,413,118,86,24597,38155969,1551.244827,1504194,25.366388,34222,88391990,2582.899597,2262380,39.070355,0.137
Puzzle_53,1103,202,163,330643,771427799,2333.113960,40290117,19.146824,89944,460572679,5120.660400,11420422,40.328867,1.052
Puzzle_55,420,120,90,3836,9472963,2469.489833,450916,21.008265,4568,17828726,3902.961033,554283,32.165385,0.115
Puzzle_56,801,207,156,40130,94522084,2355.397060,4271893,22.126510,28630,130706438,4565.366329,3242992,40.304274,0.328
Puzzle_57,720,225,177,117865,286317652,2429.199949,12764248,22.431220,87084,436456580,5011.903220,10579743,41.253987,0.669
Puzzle_58,830,199,119,122823,285001278,2320.422706,13706709,20.792831,66531,335526819,5043.165126,8233948,40.749203,0.663
Puzzle_59,997,230,179,685292,1190969925,1737.901398,52934391,22.498982,313072,1293066042,4130.251322,33752194,38.310577,3.135
Puzzle_60,523,152,127,72333,148131614,2047.911935,7193013,20.593820,35308,166306506,4710.165005,3983172,41.752278,0.313
Puzzle_61,923,263,187,133591,255120256,1909.711403,12539233,20.345762,35440,142485841,4020.480841,3896926,36.563651,0.509
Puzzle_62,725,245,129,147260,308883995,2097.541729,15098645,20.457729,92079,395589191,4296.193388,10177819,38.867776,0.549
Puzzle_63,1627,431,382,278176,823165528,2959.153658,35678763,23.071583,327096,1758691198,5376.682069,43299673,40.616732,1.724
Puzzle_64,716,137,153,437395,698496546,1596.946801,33066912,21.123731,280494,930052347,3315.765567,26384852,35.249481,1.641
Puzzle_65,721,211,122,18520,35010540,1890.417927,1665082,21.026316,14627,48265808,3299.774937,1427847,33.803207,0.178
Puzzle_68,1304,341,217,599397,1452323905,2422.974931,67202928,21.611021,689249,2776190345,4027.848201,80022813,34.692486,2.906
Puzzle_70,1127,333,250,128986,268831003,2084.187454,13701360,19.620753,88077,329309340,3738.880071,10380755,31.723063,0.544
Puzzle_72,943,296,104,25783,52785715,2047.306946,2475045,21.327174,22883,74854610,3271.188655,2382004,31.425056,0.262
Puzzle_73,1452,441,187,90757,210211158,2316.197737,10332549,20.344560,79176,342025886,4319.817697,10007236,34.177858,0.415
Puzzle_78,492,136,58,14700,20163541,1371.669456,1040918,19.370922,8319,21263588,2556.026926,650854,32.670289,0.058
Puzzle_79,562,174,92,80144,153641372,1917.066430,7461732,20.590578,20646,64803238,3138.779328,1869652,34.660588,0.168
Puzzle_80,637,231,78,42795,64090008,1497.605047,2958676,21.661719,35991,85451286,2374.240393,3211773,26.605643,0.169
Puzzle_81,815,173,128,82292,142108548,1726.881690,6681192,21.269939,57055,192032259,3365.739357,5218611,36.797581,0.268
Puzzle_82,406,143,70,18740,25207398,1345.111953,1099700,22.922068,10985,24215974,2204.458261,714266,33.903299,0.090
Puzzle_83,507,194,74,10683,15038564,1407.709819,746349,20.149506,10686,22869318,2140.119596,870179,26.281165,0.062
Puzzle_84,509,157,88,10635,19370940,1821.433004,862977,22.446647,11680,33844720,2897.664384,1029108,32.887433,0.100
