Name,Moves,Pushes,Treedepth,MarkReach calls,MarkReach cycles,Avg cycles/call,loops,Approx cycles/loop,Stones loops,Avg stones,unused,unused,unused,total time(s)
Puzzle_1,263,97,44,3423,3797706,1109.467134,0,inf,0,0,1526.844267,84989,31.492993,0.025
Puzzle_2,540,131,76,11881,13283517,1118.047050,0,inf,0,0,2075.461553,601699,36.245615,0.051
Puzzle_3,377,134,67,15372,16902960,1099.594067,0,inf,0,0,1726.491857,762270,39.219611,0.062
Puzzle_4,927,355,185,67609,84426804,1248.750965,0,inf,0,0,2983.402212,2911941,33.254544,0.239
Puzzle_5,422,143,69,36448,40980300,1124.349759,0,inf,0,0,2177.569215,2271587,38.225589,0.166
Puzzle_6,346,110,60,7922,8886963,1121.808003,0,inf,0,0,1585.150082,381345,32.875617,0.041
Puzzle_7,375,88,55,40809,47571858,1165.719768,0,inf,0,0,1782.185319,957551,34.076546,0.122
Puzzle_8,782,230,139,246660,320036760,1297.481391,0,inf,0,0,4286.224641,30815116,43.214969,1.826
Puzzle_9,632,243,87,887684,1033206165,1163.934649,0,inf,0,0,1916.510268,25756360,33.599551,1.931
Puzzle_10,1583,512,299,1455351,2420151983,1662.933535,0,inf,0,0,5885.329188,144382632,37.726237,9.267
Puzzle_12,935,224,109,668534,909727167,1360.779208,0,inf,0,0,4216.327599,63472224,42.651505,2.800
Puzzle_17,552,213,78,102476,110983473,1083.019175,0,inf,0,0,1593.325867,3800838,29.234018,0.167
Puzzle_21,644,149,97,412821,527167404,1276.987857,0,inf,0,0,3727.641785,13333961,44.698005,1.012
Puzzle_33,733,174,121,479112,605564967,1263.931955,0,inf,0,0,3272.718302,35447778,41.337162,2.304
Puzzle_38,396,89,67,305061,334283139,1095.791134,0,inf,0,0,1750.992036,9431234,38.956053,0.559
Puzzle_43,610,146,115,379316,490385169,1292.814353,0,inf,0,0,4125.015398,26594858,49.104929,1.594
Puzzle_45,865,300,161,297207,352537776,1186.169155,0,inf,0,0,3342.534319,8766918,40.216779,0.844
Puzzle_49,683,128,86,659448,775954614,1176.672936,0,inf,0,0,2405.555827,22403120,37.002712,1.415
Puzzle_51,413,118,86,24597,28622013,1163.638371,0,inf,0,0,3003.033575,2262380,45.425532,0.146
Puzzle_53,1103,202,163,330643,490597398,1483.767683,0,inf,0,0,5755.666070,11420422,45.329991,0.998
Puzzle_55,420,120,90,3836,6023397,1570.228624,0,inf,0,0,4705.584063,554283,38.780024,0.124
Puzzle_56,801,207,156,40130,53022576,1321.270272,0,inf,0,0,4971.544045,3242992,43.890119,0.300
Puzzle_57,720,225,177,117865,155343762,1317.980418,0,inf,0,0,5545.432238,10579743,45.645572,0.651
Puzzle_58,830,199,119,122823,168501162,1371.902347,0,inf,0,0,5599.962168,8233948,45.248171,0.658
Puzzle_59,997,230,179,685292,942601083,1375.473642,0,inf,0,0,4539.209674,33752194,42.103913,3.278
Puzzle_60,523,152,127,72333,100962048,1395.795114,0,inf,0,0,5091.687125,3983172,45.134202,0.282
Puzzle_61,923,263,187,133591,187173636,1401.094655,0,inf,0,0,4541.650818,3896926,41.303352,0.514
Puzzle_62,725,245,129,147260,194687544,1322.066712,0,inf,0,0,4591.043463,10177819,41.535293,0.527
Puzzle_63,1627,431,382,278176,390096996,1402.338793,0,inf,0,0,6104.859206,43299673,46.117554,1.690
Puzzle_64,716,137,153,437395,547452255,1251.619829,0,inf,0,0,3783.168635,26384852,40.218384,1.706
Puzzle_65,721,211,122,18520,22107972,1193.734989,0,inf,0,0,3706.351815,1427847,37.968219,0.181
Puzzle_68,1304,341,217,599397,866122149,1444.989129,0,inf,0,0,4427.332891,80022813,38.133310,2.853
Puzzle_70,1127,333,250,128986,214249305,1661.027592,0,inf,0,0,4335.974829,10380755,36.789198,0.568
Puzzle_72,943,296,104,25783,39813855,1544.190164,0,inf,0,0,3806.329284,2382004,36.565947,0.276
Puzzle_73,1452,441,187,90757,136425309,1503.193241,0,inf,0,0,4920.743710,10007236,38.932309,0.423
Puzzle_78,492,136,58,14700,17883015,1216.531633,0,inf,0,0,2866.559322,650854,36.639411,0.062
Puzzle_79,562,174,92,80144,98188413,1225.149893,0,inf,0,0,3475.616681,1869652,38.380181,0.152
Puzzle_80,637,231,78,42795,51020367,1192.203926,0,inf,0,0,2886.078353,3211773,32.341279,0.181
Puzzle_81,815,173,128,82292,106147539,1289.888920,0,inf,0,0,3692.758391,5218611,40.372875,0.268
Puzzle_82,406,143,70,18740,21109884,1126.461259,0,inf,0,0,2495.745744,714266,38.383133,0.096
Puzzle_83,507,194,74,10683,14611986,1367.779275,0,inf,0,0,2498.247614,870179,30.679060,0.067
Puzzle_84,509,157,88,10635,12305322,1157.058956,0,inf,0,0,3249.985531,1029108,36.886149,0.104
