Name,Moves,Pushes,Treedepth,MarkReach calls,MarkReach cycles,Avg cycles/call,loops,Approx cycles/loop,Stones loops,Avg stones,unused,unused,unused,total time(s)
Puzzle_1,263,97,44,3423,1112790,325.092025,0,inf,0,0,1514.779236,84989,31.244137,0.024
Puzzle_2,540,131,76,11881,3746814,315.361838,0,inf,0,0,2058.298344,601699,35.945878,0.047
Puzzle_3,377,134,67,15372,4773534,310.534348,0,inf,0,0,1697.020444,762270,38.550128,0.056
Puzzle_4,927,355,185,67609,24223110,358.282329,0,inf,0,0,2926.157650,2911941,32.616466,0.210
Puzzle_5,422,143,69,36448,11343558,311.225801,0,inf,0,0,2164.576888,2271587,37.997518,0.136
Puzzle_6,346,110,60,7922,2457438,310.204241,0,inf,0,0,1531.812745,381345,31.769414,0.038
Puzzle_7,375,88,55,40809,13635609,334.132397,0,inf,0,0,1763.624611,957551,33.721653,0.107
Puzzle_8,782,230,139,246660,96369045,390.695877,0,inf,0,0,4293.245485,30815116,43.285755,1.720
Puzzle_9,632,243,87,887684,296795106,334.347703,0,inf,0,0,1950.539667,25756360,34.196142,1.634
Puzzle_10,1583,512,299,1455351,892132104,613.001334,0,inf,0,0,5991.603168,144382632,38.407476,8.805
Puzzle_12,935,224,109,668534,304411182,455.341362,0,inf,0,0,4290.958505,63472224,43.406456,2.596
Puzzle_17,552,213,78,102476,32684577,318.948603,0,inf,0,0,1606.390496,3800838,29.473725,0.135
Puzzle_21,644,149,97,412821,163171467,395.259609,0,inf,0,0,3796.910925,13333961,45.528609,0.868
Puzzle_33,733,174,121,479112,184448046,384.978974,0,inf,0,0,3266.246648,35447778,41.255419,2.136
Puzzle_38,396,89,67,305061,90782853,297.589181,0,inf,0,0,1735.605230,9431234,38.613728,0.463
Puzzle_43,610,146,115,379316,159229146,419.779672,0,inf,0,0,4120.078935,26594858,49.046165,1.456
Puzzle_45,865,300,161,297207,101852718,342.699593,0,inf,0,0,3374.318102,8766918,40.599196,0.748
Puzzle_49,683,128,86,659448,232081332,351.932726,0,inf,0,0,2443.731815,22403120,37.589942,1.201
Puzzle_51,413,118,86,24597,7801077,317.155629,0,inf,0,0,2901.047338,2262380,43.882832,0.134
Puzzle_53,1103,202,163,330643,164637255,497.930563,0,inf,0,0,5785.563139,11420422,45.565452,0.855
Puzzle_55,420,120,90,3836,2091615,545.259385,0,inf,0,0,4516.367338,554283,37.220636,0.118
Puzzle_56,801,207,156,40130,17012736,423.940593,0,inf,0,0,4941.419350,3242992,43.624171,0.286
Puzzle_57,720,225,177,117865,50404437,427.645501,0,inf,0,0,5667.101660,10579743,46.647058,0.619
Puzzle_58,830,199,119,122823,56093583,456.702596,0,inf,0,0,5799.988231,8233948,46.864398,0.623
Puzzle_59,997,230,179,685292,309377742,451.453894,0,inf,0,0,4638.521343,33752194,43.025089,3.074
Puzzle_60,523,152,127,72333,33610650,464.665505,0,inf,0,0,5116.680469,3983172,45.355750,0.255
Puzzle_61,923,263,187,133591,60330573,451.606568,0,inf,0,0,4699.144554,3896926,42.735654,0.479
Puzzle_62,725,245,129,147260,64263024,436.391580,0,inf,0,0,4736.743362,10177819,42.853444,0.483
Puzzle_63,1627,431,382,278176,132232839,475.356749,0,inf,0,0,6160.220926,43299673,46.535770,1.588
Puzzle_64,716,137,153,437395,177192315,405.108232,0,inf,0,0,3866.065114,26384852,41.099646,1.587
Puzzle_65,721,211,122,18520,6913431,373.295410,0,inf,0,0,3768.217611,1427847,38.601978,0.187
Puzzle_68,1304,341,217,599397,297687237,496.644523,0,inf,0,0,4483.651162,80022813,38.618388,2.623
Puzzle_70,1127,333,250,128986,79227399,614.232545,0,inf,0,0,4449.327021,10380755,37.750951,0.518
Puzzle_72,943,296,104,25783,14362980,557.071714,0,inf,0,0,3766.441988,2382004,36.182765,0.267
Puzzle_73,1452,441,187,90757,47469027,523.034333,0,inf,0,0,5034.277849,10007236,39.830577,0.392
Puzzle_78,492,136,58,14700,5641971,383.807551,0,inf,0,0,2875.275514,650854,36.750818,0.057
Puzzle_79,562,174,92,80144,30608985,381.924848,0,inf,0,0,3505.136443,1869652,38.706159,0.125
Puzzle_80,637,231,78,42795,16256646,379.872555,0,inf,0,0,3089.638243,3211773,34.622363,0.170
Puzzle_81,815,173,128,82292,33819315,410.967226,0,inf,0,0,3695.226010,5218611,40.399854,0.239
Puzzle_82,406,143,70,18740,5807430,309.894877,0,inf,0,0,2491.963041,714266,38.324957,0.091
Puzzle_83,507,194,74,10683,4950207,463.372367,0,inf,0,0,2530.406513,870179,31.073979,0.063
Puzzle_84,509,157,88,10635,3674349,345.495910,0,inf,0,0,3298.884503,1029108,37.441134,0.102
