Name,Moves,Pushes,Treedepth,#call of MarkReach(),#cycles of MarkReach(),Avg #cycles/call,#loop,Avg #cycle/loop,#call of Moves(),#cycles of Moves(),theoretical peak,#loop,Avg #cycle/loop,total time(s)
Puzzle_1,360,97,44,3423,3140112,917.356705,159077,19.739573,1753,2275740,19.391710,84989,26.776877,0.023
Puzzle_2,671,131,76,11881,13212473,1112.067419,595063,22.203486,10508,17874250,21.284496,601699,29.706298,0.046
Puzzle_3,511,134,67,15372,15597037,1014.639409,644964,24.182802,17316,23970304,21.405171,762270,31.445950,0.055
Puzzle_4,1282,355,185,67609,92567946,1369.166028,4083163,22.670647,32458,80479860,22.837746,2911941,27.637875,0.227
Puzzle_5,565,143,69,36448,46794793,1283.878210,1910189,24.497468,39876,74956718,21.193017,2271587,32.997511,0.141
Puzzle_6,456,110,60,7922,8290218,1046.480434,354903,23.359109,7909,10119106,21.765645,381345,26.535305,0.037
Puzzle_7,463,88,55,40809,41304180,1012.134088,1896344,21.780953,18309,26826722,21.260996,957551,28.015972,0.110
Puzzle_8,1012,230,139,246660,550515573,2231.880212,20992279,26.224669,310687,1141129216,22.163128,30815116,37.031476,1.753
Puzzle_9,875,243,87,887684,1049710380,1182.527093,46554936,22.547778,451551,730628999,22.190226,25756360,28.366935,1.802
Puzzle_10,2095,512,299,1455351,4372117755,3004.167211,198954884,21.975423,925524,4715507478,22.125254,144382632,32.659797,9.413
Puzzle_12,1159,224,109,668534,1545194514,2311.317770,65452377,23.607921,642072,2349946738,21.203959,63472224,37.023230,2.848
Puzzle_17,765,213,78,102476,101239098,987.929837,5112756,19.801277,69737,91447967,19.851844,3800838,24.059949,0.150
Puzzle_21,793,149,97,412821,670792837,1624.899986,31584133,21.238286,159887,535659368,20.771905,13333961,40.172561,1.021
Puzzle_33,907,174,121,479112,832477818,1737.543242,33187068,25.084404,447735,1198061306,21.040312,35447778,33.797924,2.208
Puzzle_38,485,89,67,305061,292087165,957.471342,13066623,22.353684,209826,302252016,20.296798,9431234,32.047982,0.491
Puzzle_43,756,146,115,379316,649164396,1711.407892,28979697,22.400662,316590,1091683412,19.704751,26594858,41.048665,1.521
Puzzle_45,1165,300,161,297207,392781129,1321.574287,17567188,22.358794,105482,307267930,21.713797,8766918,35.048569,0.814
Puzzle_49,811,128,86,659448,815195954,1236.179280,38402583,21.227633,344609,693873173,20.304376,22403120,30.972167,1.337
Puzzle_51,531,118,86,24597,38859978,1579.866569,1504194,25.834419,34222,84752952,21.070095,2262380,37.461855,0.137
Puzzle_53,1305,202,163,330643,773587949,2339.647139,40290117,19.200439,89944,449394129,20.867510,11420422,39.350046,1.052
Puzzle_55,540,120,90,3836,9678648,2523.109489,450916,21.464415,4568,16917614,20.796629,554283,30.521618,0.115
Puzzle_56,1008,207,156,40130,94822000,2362.870670,4271893,22.196717,28630,121783572,20.136036,3242992,37.552844,0.299
Puzzle_57,945,225,177,117865,289239582,2453.990430,12764248,22.660135,87084,422501370,21.339675,10579743,39.934937,0.669
Puzzle_58,1029,199,119,122823,289027982,2353.207315,13706709,21.086607,66531,320317298,20.534869,8233948,38.902031,0.678
Puzzle_59,1227,230,179,685292,1197171817,1746.951397,52934391,22.616144,313072,1184037472,20.770676,33752194,35.080311,3.163
Puzzle_60,675,152,127,72333,149113456,2061.485850,7193013,20.730319,35308,154645398,20.282134,3983172,38.824685,0.282
Puzzle_61,1186,263,187,133591,255682194,1913.917809,12539233,20.390577,35440,134652724,21.467771,3896926,34.553575,0.511
Puzzle_62,970,245,129,147260,310066243,2105.570033,15098645,20.536031,92079,370758207,19.770450,10177819,36.428061,0.542
Puzzle_63,2058,431,382,278176,840393760,3021.086506,35678763,23.554453,327096,1717477015,21.355141,43299673,39.664896,1.733
Puzzle_64,853,137,153,437395,703528617,1608.451439,33066912,21.275909,280494,880649314,20.729383,26384852,33.377080,1.650
Puzzle_65,932,211,122,18520,35666264,1925.824190,1665082,21.420125,14627,46561572,20.605208,1427847,32.609637,0.178
Puzzle_68,1645,341,217,599397,1456661013,2430.210717,67202928,21.675559,689249,2520162343,20.129606,80022813,31.493049,2.804
Puzzle_70,1460,333,250,128986,271309857,2103.405463,13701360,19.801673,88077,303984354,20.046365,10380755,29.283453,0.547
Puzzle_72,1239,296,104,25783,52618335,2040.815072,2475045,21.259547,22883,70603012,21.006299,2382004,29.640174,0.285
Puzzle_73,1893,441,187,90757,213438827,2351.761594,10332549,20.656938,79176,323289600,20.802648,10007236,32.305584,0.411
Puzzle_78,628,136,58,14700,20218790,1375.427891,1040918,19.423999,8319,20267728,21.678988,650854,31.140207,0.058
Puzzle_79,736,174,92,80144,154146566,1923.370009,7461732,20.658282,20646,61484662,22.417273,1869652,32.885618,0.168
Puzzle_80,868,231,78,42795,65124372,1521.775254,2958676,22.011323,35991,84853924,23.074915,3211773,26.419652,0.172
Puzzle_81,988,173,128,82292,142572590,1732.520658,6681192,21.339394,57055,188744132,21.956485,5218611,36.167504,0.268
Puzzle_82,549,143,70,18740,25345264,1352.468730,1099700,23.047435,10985,23060182,21.485234,714266,32.285146,0.091
Puzzle_83,701,194,74,10683,15169378,1419.954882,746349,20.324778,10686,21589425,21.336633,870179,24.810326,0.062
Puzzle_84,666,157,88,10635,19613726,1844.261965,862977,22.727982,11680,32266034,22.529834,1029108,31.353399,0.100
