Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 25.25      2.28     2.28   937980     0.00     0.00  GetPenalty
 21.71      4.24     1.96   280494     0.00     0.00  Moves
 16.61      5.74     1.50   437395     0.00     0.00  MarkReach
  7.42      6.41     0.67   885851     0.00     0.00  UnReach
  4.10      6.78     0.37 11309801     0.00     0.00  AllBitsSetBS
  2.66      7.02     0.24   709922     0.00     0.00  PenUpdateLowerBound
  1.99      7.20     0.18   305679     0.00     0.00  My_qsort
  1.88      7.37     0.17  2240294     0.00     0.00  BitOrAndEqBS
  1.77      7.53     0.16    30988     0.00     0.00  DistToGoal
  1.50      7.67     0.14  3145869     0.00     0.00  Frozen
  1.44      7.80     0.13   319163     0.00     0.00  GenerateMoves
  1.33      7.92     0.12  1138045     0.00     0.00  BitNotAndNotAndNotBS
  1.33      8.04     0.12   357781     0.00     0.00  MarkReachQuick
  1.00      8.13     0.09  1394508     0.00     0.00  BitOrEqBS
  0.89      8.21     0.08  5756494     0.00     0.00  GetManDir
  0.78      8.28     0.07   180358     0.00     0.00  DeadUpdateLowerBound
  0.66      8.34     0.06   238760     0.00     0.00  PenMoveOrdering
  0.66      8.40     0.06   937980     0.00     0.00  LogAndNotAndNotBS
  0.55      8.45     0.05  1987138     0.00     0.00  GetOptDist
  0.55      8.50     0.05   937980     0.00     0.00  BitAndNotButOrBS
  0.55      8.55     0.05   336679     0.00     0.00  PSGetHashTable
  0.55      8.60     0.05    26466     0.00     0.00  PenLowerBound
  0.55      8.65     0.05     5533     0.00     0.00  PenIda
  0.44      8.69     0.04   600322     0.00     0.00  BitAndNotEqBS
  0.44      8.73     0.04   188810     0.00     0.00  PushesMoves
  0.33      8.76     0.03  2111539     0.00     0.00  DeadLock2
  0.33      8.79     0.03  2111539     0.00     0.00  SubMacro
  0.33      8.82     0.03   365901     0.00     0.00  PenMakeMove
  0.33      8.85     0.03    80043     0.00     0.00  DeadMoveOrdering
  0.22      8.87     0.02   736889     0.00     0.00  DiffToDir
  0.22      8.89     0.02   490861     0.00     0.00  LogAndBS
  0.22      8.91     0.02     8123     0.00     0.00  MarkReachGRoom
  0.11      8.92     0.01  2240294     0.00     0.00  DeadLock
  0.11      8.93     0.01   891532     0.00     0.00  UpdateHashKey
  0.11      8.94     0.01   502462     0.00     0.00  GenAllSquares
  0.11      8.95     0.01   342869     0.00     0.00  UpdateReach
  0.11      8.96     0.01    94151     0.00     0.00  DeadUnMakeMove
  0.11      8.97     0.01    85985     0.00     0.00  NumberBitsBS
  0.11      8.98     0.01     8571     0.00     0.00  DeadLowerBound
  0.11      8.99     0.01     4767     0.00     0.00  init_stats
  0.11      9.00     0.01     1253     0.00     0.00  MinMatch
  0.11      9.01     0.01      905     0.00     0.00  DeadIda
  0.11      9.02     0.01      168     0.00     0.00  BitAndNotBS
  0.11      9.03     0.01       24     0.00     0.00  DeadMiniConflict
  0.06      9.03     0.01      508     0.00     0.00  RegisterMove
  0.00      9.03     0.00  4785298     0.00     0.00  PenCompare
  0.00      9.03     0.00  1468677     0.00     0.00  DeadCompare
  0.00      9.03     0.00   796728     0.00     0.00  AbortSearch
  0.00      9.03     0.00   601852     0.00     0.00  DeadTree
  0.00      9.03     0.00   551599     0.00     0.00  BitNext
  0.00      9.03     0.00   431559     0.00     0.00  PSStoreHashTable
  0.00      9.03     0.00   384078     0.00     0.00  IncNodeCount
  0.00      9.03     0.00   365901     0.00     0.00  PenUnMakeMove
  0.00      9.03     0.00   253516     0.00     0.00  PenIsGoalNode
  0.00      9.03     0.00   188657     0.00     0.00  SetManStoneSquares
  0.00      9.03     0.00   173448     0.00     0.00  PSSetPathFlag
  0.00      9.03     0.00   114716     0.00     0.00  Debug
  0.00      9.03     0.00    94151     0.00     0.00  DeadMakeMove
  0.00      9.03     0.00    84592     0.00     0.00  DeadIsGoalNode
  0.00      9.03     0.00    76729     0.00     0.00  SubsetBS
  0.00      9.03     0.00    75878     0.00     0.00  XDistMan
  0.00      9.03     0.00    52738     0.00     0.00  GetScew
  0.00      9.03     0.00    50034     0.00     0.00  NewAddScew
  0.00      9.03     0.00    38318     0.00     0.00  DistantSquares
  0.00      9.03     0.00    35071     0.00     0.00  NormHashKey
  0.00      9.03     0.00    33404     0.00     0.00  FindTransitiveClosure
  0.00      9.03     0.00    33404     0.00     0.00  Maximize
  0.00      9.03     0.00    32599     0.00     0.00  PSUnSetPathFlag
  0.00      9.03     0.00    22495     0.00     0.00  XDistStone
  0.00      9.03     0.00    12960     0.00     0.00  BitNotAndNotBS
  0.00      9.03     0.00     8700     0.00     0.00  IncCounter
  0.00      9.03     0.00     8123     0.00     0.00  CleanReach
  0.00      9.03     0.00     6577     0.00     0.00  compare_negval
  0.00      9.03     0.00     4980     0.00     0.00  print_stats
  0.00      9.03     0.00     4586     0.00     0.00  PenDeactivateStones
  0.00      9.03     0.00     4100     0.00     0.00  PenStartIda
  0.00      9.03     0.00     3557     0.00     0.00  FindFarthestPosStone
  0.00      9.03     0.00     2254     0.00     0.00  Crowding
  0.00      9.03     0.00     2254     0.00     0.00  DistantMove
  0.00      9.03     0.00     1560     0.00     0.00  BitAndNotAndNotBS
  0.00      9.03     0.00     1526     0.00     0.00  FindClosestPosStone
  0.00      9.03     0.00     1305     0.00     0.00  FindClosestPosMan
  0.00      9.03     0.00     1236     0.00     0.00  MarkReachDist
  0.00      9.03     0.00      779     0.00     0.00  BetterUpdateLowerBound
  0.00      9.03     0.00      779     0.00     0.00  MakeMove
  0.00      9.03     0.00      748     0.00     0.00  My_free
  0.00      9.03     0.00      700     0.00     0.00  InitIDA
  0.00      9.03     0.00      699     0.00     0.00  DeadStartIda
  0.00      9.03     0.00      673     0.00     0.00  Mprintf
  0.00      9.03     0.00      661     0.00     0.00  QualityCompare
  0.00      9.03     0.00      661     0.00     0.00  StoreHashTable
  0.00      9.03     0.00      627     0.00     0.00  DeadDeactivateStones
  0.00      9.03     0.00      477     0.00     0.00  IsGoalNodeNorm
  0.00      9.03     0.00      473     0.00     0.00  BetterUpdateLowerBound2
  0.00      9.03     0.00      473     0.00     0.00  UnMakeMove
  0.00      9.03     0.00      432     0.00     0.00  AddConflict
  0.00      9.03     0.00      432     0.00     0.00  RemoveDuplicates
  0.00      9.03     0.00      425     0.00     0.00  RestoreMaze
  0.00      9.03     0.00      425     0.00     0.00  SaveMaze
  0.00      9.03     0.00      420     0.00     0.00  FindFirstSet
  0.00      9.03     0.00      420     0.00     0.00  FindPenalty
  0.00      9.03     0.00      420     0.00     0.00  InsertConflict
  0.00      9.03     0.00      404     0.00     0.00  GetHashTable
  0.00      9.03     0.00      360     0.00     0.00  NewMoveOrdering
  0.00      9.03     0.00      315     0.00     0.00  PenMoveSuspected
  0.00      9.03     0.00      302     0.00     0.00  AreaMove
  0.00      9.03     0.00      302     0.00     0.00  FindFringeStones
  0.00      9.03     0.00      284     0.00     0.00  GoalReach
