Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 40.48      0.34     0.34    80144     0.00     0.00  MarkReach
 20.24      0.51     0.17    20646     0.01     0.01  Moves
  7.14      0.57     0.06     4568     0.01     0.07  DistToGoal
  5.95      0.62     0.05  1585659     0.00     0.00  GetOptDist
  3.57      0.65     0.03     5645     0.01     0.01  MarkReachGRoom
  2.38      0.67     0.02   119707     0.00     0.00  Frozen
  1.79      0.69     0.02    33533     0.00     0.00  LogAndNotAndNotBS
  1.19      0.70     0.01   125654     0.00     0.00  BitOrEqBS
  1.19      0.71     0.01   104594     0.00     0.00  BitNotAndNotAndNotBS
  1.19      0.72     0.01    99279     0.00     0.00  BitNext
  1.19      0.73     0.01    87024     0.00     0.00  BitOrAndEqBS
  1.19      0.74     0.01    33533     0.00     0.00  BitAndNotButOrBS
  1.19      0.75     0.01    33533     0.00     0.00  GetPenalty
  1.19      0.76     0.01    25727     0.00     0.00  UnReach
  1.19      0.77     0.01    23926     0.00     0.00  PenUpdateLowerBound
  1.19      0.78     0.01    17854     0.00     0.00  PSStoreHashTable
  1.19      0.79     0.01    13852     0.00     0.03  GenerateMoves
  1.19      0.80     0.01    12813     0.00     0.00  MarkReachQuick
  1.19      0.81     0.01    12282     0.00     0.02  PushesMoves
  1.19      0.82     0.01     8128     0.00     0.00  StoneReach
  1.19      0.83     0.01     5502     0.00     0.00  DeadUpdateLowerBound
  1.19      0.84     0.01     2516     0.00     0.01  PickUpEntrances
  0.60      0.84     0.01                             LogOrBS
  0.00      0.84     0.00   162622     0.00     0.00  PenCompare
  0.00      0.84     0.00   160341     0.00     0.00  AllBitsSetBS
  0.00      0.84     0.00   147446     0.00     0.00  DiffToDir
  0.00      0.84     0.00    87024     0.00     0.00  DeadLock
  0.00      0.84     0.00    78718     0.00     0.00  GetManDir
  0.00      0.84     0.00    76921     0.00     0.00  DeadLock2
  0.00      0.84     0.00    76921     0.00     0.00  SubMacro
  0.00      0.84     0.00    71502     0.00     0.00  LogAndBS
  0.00      0.84     0.00    54416     0.00     0.00  GenAllSquares
  0.00      0.84     0.00    51362     0.00     0.00  GetScew
  0.00      0.84     0.00    49762     0.00     0.00  NewAddScew
  0.00      0.84     0.00    38498     0.00     0.00  DeadCompare
  0.00      0.84     0.00    32078     0.00     0.00  EntrComp
  0.00      0.84     0.00    31066     0.00     0.00  AbortSearch
  0.00      0.84     0.00    29856     0.00     0.00  UpdateHashKey
  0.00      0.84     0.00    26817     0.00     0.00  IncNodeCount
  0.00      0.84     0.00    16012     0.00     0.00  DeadTree
  0.00      0.84     0.00    14719     0.00     0.00  PSGetHashTable
  0.00      0.84     0.00    14703     0.00     0.00  BitAndNotEqBS
  0.00      0.84     0.00    14641     0.00     0.00  My_qsort
  0.00      0.84     0.00    12881     0.00     0.00  PenMakeMove
  0.00      0.84     0.00    12881     0.00     0.00  PenUnMakeMove
  0.00      0.84     0.00    12527     0.00     0.00  Isnt0BS
  0.00      0.84     0.00    12516     0.00     0.00  BitAndNotBS
  0.00      0.84     0.00    12190     0.00     0.02  SetManStoneSquares
  0.00      0.84     0.00    12022     0.00     0.00  PenIsGoalNode
  0.00      0.84     0.00    11637     0.00     0.00  UpdateReach
  0.00      0.84     0.00    11516     0.00     0.00  XDistMan
  0.00      0.84     0.00    10931     0.00     0.00  PenMoveOrdering
  0.00      0.84     0.00    10352     0.00     0.00  GroomIncPos
  0.00      0.84     0.00    10323     0.00     0.00  GroomExcPos
  0.00      0.84     0.00    10000     0.00     0.00  GGGetHashTable
  0.00      0.84     0.00     9622     0.00     0.00  PSSetPathFlag
  0.00      0.84     0.00     8876     0.00     0.00  Debug
  0.00      0.84     0.00     6058     0.00     0.00  DistantSquares
  0.00      0.84     0.00     6034     0.00     0.00  BitNotAndNotBS
  0.00      0.84     0.00     5645     0.00     0.00  CleanReach
  0.00      0.84     0.00     5136     0.00     0.00  FindTransitiveClosure
  0.00      0.84     0.00     5136     0.00     0.00  Maximize
  0.00      0.84     0.00     5078     0.00     0.00  IncCounter
  0.00      0.84     0.00     3053     0.00     0.00  NumberBitsBS
  0.00      0.84     0.00     3009     0.00     0.01  DeadMakeMove
  0.00      0.84     0.00     3009     0.00     0.00  DeadUnMakeMove
  0.00      0.84     0.00     2890     0.00     0.00  DeadIsGoalNode
  0.00      0.84     0.00     2816     0.00     0.00  DeadMoveOrdering
  0.00      0.84     0.00     2776     0.00     0.00  NormHashKey
  0.00      0.84     0.00     2516     0.00     0.00  ValidateEntrances
  0.00      0.84     0.00     2515     0.00     0.00  EvaluateGroom
  0.00      0.84     0.00     2514     0.00     0.00  GGStoreHashTable
  0.00      0.84     0.00     2191     0.00     0.00  PenLowerBound
  0.00      0.84     0.00     1015     0.00     0.00  compare_negval
  0.00      0.84     0.00      835     0.00     0.00  XDistStone
  0.00      0.84     0.00      733     0.00     0.00  My_free
  0.00      0.84     0.00      595     0.00     0.00  SubsetBS
  0.00      0.84     0.00      559     0.00     0.00  DeadLowerBound
  0.00      0.84     0.00      466     0.00     0.00  Crowding
  0.00      0.84     0.00      466     0.00     0.00  DistantMove
  0.00      0.84     0.00      434     0.00     1.29  PenIda
  0.00      0.84     0.00      429     0.00     0.00  MinMatch
  0.00      0.84     0.00      381     0.00     0.00  print_stats
  0.00      0.84     0.00      374     0.00     0.00  init_stats
  0.00      0.84     0.00      357     0.00     0.07  GoalReach
  0.00      0.84     0.00      355     0.00     0.01  PenDeactivateStones
  0.00      0.84     0.00      347     0.00     0.00  Mprintf
  0.00      0.84     0.00      316     0.00     0.00  MarkReachDist
  0.00      0.84     0.00      309     0.00     1.81  PenStartIda
  0.00      0.84     0.00      306     0.00     0.00  BetterUpdateLowerBound
  0.00      0.84     0.00      306     0.00     0.01  MakeMove
  0.00      0.84     0.00      207     0.00     0.00  BitAndNotAndNotBS
  0.00      0.84     0.00      207     0.00     0.00  FindClosestPosStone
  0.00      0.84     0.00      205     0.00     0.00  QualityCompare
  0.00      0.84     0.00      205     0.00     0.00  StoreHashTable
  0.00      0.84     0.00      172     0.00     0.00  FindClosestPosMan
  0.00      0.84     0.00      170     0.00     0.00  FindFarthestPosStone
  0.00      0.84     0.00      124     0.00     0.00  IsGoalNodeNorm
  0.00      0.84     0.00      124     0.00     0.00  RegisterMove
  0.00      0.84     0.00      122     0.00     0.00  BetterUpdateLowerBound2
  0.00      0.84     0.00      122     0.00     0.00  UnMakeMove
  0.00      0.84     0.00      109     0.00     0.00  GetHashTable
  0.00      0.84     0.00      105     0.00     0.00  NewMoveOrdering
  0.00      0.84     0.00       96     0.00     1.02  AreaMove
  0.00      0.84     0.00       96     0.00     0.00  FindFringeStones
  0.00      0.84     0.00       93     0.00     0.00  CreatePropGMacro
  0.00      0.84     0.00       93     0.00     0.00  FindBestSquare
  0.00      0.84     0.00       92     0.00     0.00  HumanMove
  0.00      0.84     0.00       90     0.00     0.04  Communicating
  0.00      0.84     0.00       90     0.00     0.30  GetBaseProps
  0.00      0.84     0.00       90     0.00     0.00  InitIDA
  0.00      0.84     0.00       90     0.00     0.00  PenMoveSuspected
  0.00      0.84     0.00       89     0.00     0.00  ValueSquareEntr
  0.00      0.84     0.00       80     0.00     0.00  DeadMoveSuspected
  0.00      0.84     0.00       80     0.00     0.00  ResetHist
  0.00      0.84     0.00       78     0.00     0.00  ValueSquare
  0.00      0.84     0.00       72     0.00     0.00  NumberBitsInt
  0.00      0.84     0.00       70     0.00     2.35  DeadIda
  0.00      0.84     0.00       64     0.00     2.57  DeadStartIda
  0.00      0.84     0.00       63     0.00     0.00  UpdateMaze
  0.00      0.84     0.00       58     0.00     0.00  My_malloc
  0.00      0.84     0.00       57     0.00     0.00  My_realloc
  0.00      0.84     0.00       45     0.00     0.00  MarkReachPos
  0.00      0.84     0.00       43     0.00     0.01  DeadDeactivateStones
  0.00      0.84     0.00       42     0.00     0.00  WhichStones
  0.00      0.84     0.00       38     0.00     0.00  PropStonesDone
  0.00      0.84     0.00       35     0.00     0.00  AddConflict
  0.00      0.84     0.00       35     0.00     0.00  FindFirstSet
  0.00      0.84     0.00       35     0.00     0.00  FindPenalty
  0.00      0.84     0.00       35     0.00     0.00  InsertConflict
  0.00      0.84     0.00       35     0.00     0.00  RemoveDuplicates
  0.00      0.84     0.00       26     0.00    19.90  PenMove
  0.00      0.84     0.00       26     0.00     0.00  WasTestedPen
  0.00      0.84     0.00       25     0.00     0.00  RestoreMaze
  0.00      0.84     0.00       25     0.00     0.00  SaveMaze
  0.00      0.84     0.00       21     0.00     0.00  AddMoreStones
  0.00      0.84     0.00       18     0.00     0.00  PSUnSetPathFlag
  0.00      0.84     0.00       16     0.00     6.92  DeadMove
  0.00      0.84     0.00       15     0.00     0.00  BitOrBS
  0.00      0.84     0.00       13     0.00     2.31  BuildGMTree
  0.00      0.84     0.00       13     0.00     0.00  GMDelHashEntry
  0.00      0.84     0.00       13     0.00     0.00  GMGetHashTable
  0.00      0.84     0.00       13     0.00     0.00  GetGMTree
  0.00      0.84     0.00       12     0.00     0.00  CreateGMacro
  0.00      0.84     0.00       12     0.00     0.00  GMStoreHashTable
  0.00      0.84     0.00       12     0.00     0.30  GetProperties
  0.00      0.84     0.00       12     0.00     2.50  GetSquareValues
  0.00      0.84     0.00       12     0.00     0.00  LogAndAndNotBS
  0.00      0.84     0.00       12     0.00    21.95  PenMiniConflict
  0.00      0.84     0.00       12     0.00     0.00  SetPathFlag
  0.00      0.84     0.00        9     0.00     0.00  AddTestedPen
  0.00      0.84     0.00        9     0.00     0.00  FindStartEndTunnel
  0.00      0.84     0.00        9     0.00     0.00  GoodTested
  0.00      0.84     0.00        8     0.00     0.00  CopyMaze
  0.00      0.84     0.00        8     0.00     0.00  DelCopiedMaze
  0.00      0.84     0.00        7     0.00     0.00  AddConflicts
  0.00      0.84     0.00        7     0.00     0.00  InitPenalty
  0.00      0.84     0.00        7     0.00     0.00  InsertPenalty
  0.00      0.84     0.00        4     0.00     0.00  AddMacro
  0.00      0.84     0.00        4     0.00     0.00  InitHist
  0.00      0.84     0.00        3     0.00     0.00  InitConflicts
  0.00      0.84     0.00        3     0.00     0.00  InitDCache
  0.00      0.84     0.00        2     0.00     0.00  CmdParam
  0.00      0.84     0.00        2     0.00     0.00  DelConflicts
  0.00      0.84     0.00        2     0.00     0.00  FreeDCache
  0.00      0.84     0.00        2     0.00     0.00  GetAvgHist
  0.00      0.84     0.00        2     0.00     0.00  GetCommand
  0.00      0.84     0.00        2     0.00   246.39  Ida
  0.00      0.84     0.00        2     0.00     0.00  InitHashTables
  0.00      0.84     0.00        2     0.00     0.00  InitTree
  0.00      0.84     0.00        2     0.00     0.00  LoadTree
  0.00      0.84     0.00        1     0.00     0.00  AddPenalties
  0.00      0.84     0.00        1     0.00     0.00  AsimGoals
  0.00      0.84     0.00        1     0.00     0.00  BetterLowerBound
  0.00      0.84     0.00        1     0.00     0.00  DelGMTree
  0.00      0.84     0.00        1     0.00     0.00  DelMaze
  0.00      0.84     0.00        1     0.00    50.65  FindMacros
  0.00      0.84     0.00        1     0.00     0.00  GMInitHashTable
  0.00      0.84     0.00        1     0.00     0.00  GetNewDistances
  0.00      0.84     0.00        1     0.00    20.63  GrowDFS
  0.00      0.84     0.00        1     0.00    20.64  GrowRoom
  0.00      0.84     0.00        1     0.00     0.00  InDCache
  0.00      0.84     0.00        1     0.00     0.00  InitBS
  0.00      0.84     0.00        1     0.00     0.00  InitGRoom
  0.00      0.84     0.00        1     0.00     0.00  InitMaze
  0.00      0.84     0.00        1     0.00     0.00  InitNodeCount
  0.00      0.84     0.00        1     0.00     0.00  InitRandom
  0.00      0.84     0.00        1     0.00   835.02  MainMenu
  0.00      0.84     0.00        1     0.00     0.00  MakeName
  0.00      0.84     0.00        1     0.00    48.45  MarkAll
  0.00      0.84     0.00        1     0.00     0.00  MarkDead
  0.00      0.84     0.00        1     0.00     0.00  MarkOneConnected
  0.00      0.84     0.00        1     0.00     0.00  MarkOut
  0.00      0.84     0.00        1     0.00     0.05  MarkTG
  0.00      0.84     0.00        1     0.00     0.00  MarkTun
  0.00      0.84     0.00        1     0.00     0.00  My_exit
  0.00      0.84     0.00        1     0.00     0.00  PrintBit2Maze
  0.00      0.84     0.00        1     0.00     2.84  PrintSolution
  0.00      0.84     0.00        1     0.00   100.66  ReadMaze
