Name,Moves,Pushes,Treedepth,#call of MarkReach(),#cycles of MarkReach(),Avg #cycles/call,#loop,Avg #cycle/loop,#call of Moves(),#cycles of Moves(),Avg #cycles/call,#loop,Avg #cycle/loop,total time(s)
Puzzle_1,263,97,44,3423,7004842,2046.404324,0,inf,1753,5800348,3308.812322,84989,68.248220,0.030
Puzzle_2,540,131,76,11881,19645432,1653.516707,0,inf,10508,37538936,3572.414922,601699,62.388231,0.067
Puzzle_3,377,134,67,15372,24201278,1574.374057,0,inf,17316,49592432,2863.965812,762270,65.058879,0.090
Puzzle_4,927,355,185,67609,115328760,1705.819639,0,inf,32458,163379892,5033.578532,2911941,56.106869,0.333
Puzzle_5,422,143,69,36448,55515476,1523.141901,0,inf,39876,143793276,3606.010533,2271587,63.300801,0.241
Puzzle_6,346,110,60,7922,13288786,1677.453421,0,inf,7909,23248836,2939.541788,381345,60.965362,0.068
Puzzle_7,375,88,55,40809,70410342,1725.363082,0,inf,18309,56450504,3083.210661,957551,58.953000,0.202
Puzzle_8,782,230,139,246660,470962736,1909.359994,0,inf,310687,2039714106,6565.173651,30815116,66.191998,3.379
Puzzle_9,632,243,87,887684,1385389836,1560.679066,0,inf,451551,1442315078,3194.135497,25756360,55.998405,3.295
Puzzle_10,1583,512,299,1455351,4614139374,3170.464976,0,inf,925524,8979867688,9702.468751,144382632,62.194930,17.789
Puzzle_12,935,224,109,668534,1533365548,2293.623882,0,inf,642072,4184578876,6517.304720,63472224,65.927718,4.799
Puzzle_17,552,213,78,102476,162258990,1583.385280,0,inf,69737,204847680,2937.431779,3800838,53.895399,0.282
Puzzle_21,644,149,97,412821,819854166,1985.979798,0,inf,159887,923979714,5778.954599,13333961,69.295216,1.861
Puzzle_33,0per117963,192,63,0,156,2324,456,0,0,33",2>&1,1.403
Puzzle_38,396,89,67,305061,427978558,1402.927801,0,inf,209826,590433132,2813.917875,9431234,62.604017,0.912
Puzzle_43,610,146,115,379316,738048142,1945.734274,0,inf,316590,1924410530,6078.557535,26594858,72.360248,2.818
Puzzle_45,865,300,161,297207,482383708,1623.056348,0,inf,105482,542290926,5141.075501,8766918,61.856507,1.504
Puzzle_49,683,128,86,659448,1108148408,1680.418180,0,inf,344609,1322591894,3837.949369,22403120,59.036058,2.388
Puzzle_51,413,118,86,24597,37637630,1530.171566,0,inf,34222,156423708,4570.852317,2262380,69.141218,0.223
Puzzle_53,1103,202,163,330643,842951108,2549.429772,0,inf,89944,771688868,8579.659210,11420422,67.570959,1.755
Puzzle_55,420,120,90,3836,10423986,2717.410323,0,inf,4568,33855048,7411.350263,554283,61.078994,0.149
Puzzle_56,801,207,156,40131,84382130,2102.667016,0,inf,28630,221043240,7720.685994,3242992,68.160279,0.470
Puzzle_57,720,225,177,117865,240502436,2040.490697,0,inf,87084,728843028,8369.425245,10579743,68.890428,1.112
Puzzle_58,830,199,119,122823,269901368,2197.482296,0,inf,66531,562188252,8450.019570,8233948,68.276877,1.047
Puzzle_59,997,230,179,685293,1467913452,2142.023123,0,inf,313072,2216023086,7078.317722,33752194,65.655675,6.443
Puzzle_60,523,152,127,72333,174300926,2409.701326,0,inf,35308,284547172,8059.000000,3983172,71.437330,0.478
Puzzle_61,###,#+++++#,#+++++#,######++#,#++#,#++#,#++#,*++#,#++#,####################,                    ,0.001
Puzzle_62,725,245,129,147260,301123410,2044.841844,0,inf,92079,646656150,7022.840713,10177819,63.535827,0.868
Puzzle_63,1627,431,382,278176,625096690,2247.126603,0,inf,327096,2923195982,8936.813602,43299673,67.510810,2.776
Puzzle_64,716,137,153,437395,824905408,1885.950704,0,inf,280494,1621878340,5782.221153,26384852,61.470056,3.078
Puzzle_65,721,211,122,18520,32961940,1779.802376,0,inf,14627,87889062,6008.686812,1427847,61.553557,0.273
Puzzle_68,1304,341,217,599397,1490830418,2487.217016,0,inf,689249,4815209028,6986.167594,80022813,60.172954,5.060
Puzzle_70,1127,333,250,128986,409651892,3175.940738,0,inf,88077,611888294,6947.197271,10380755,58.944489,0.977
Puzzle_72,943,296,104,25783,77190210,2993.841291,0,inf,22883,144636988,6320.717913,2382004,60.720716,0.430
Puzzle_73,1452,441,187,90757,235877630,2599.002060,0,inf,79176,622211572,7858.588108,10007236,62.176167,0.704
Puzzle_78,492,136,58,14700,32338176,2199.875918,0,inf,8319,43348960,5210.837841,650854,66.603201,0.092
Puzzle_79,562,174,92,80144,156235772,1949.438161,0,inf,20646,120596832,5841.171752,1869652,64.502288,0.242
Puzzle_80,637,231,78,42795,83736312,1956.684472,0,inf,35991,210138390,5838.637159,3211773,65.427535,0.315
Puzzle_81,815,173,128,82292,174708274,2123.028654,0,inf,57055,343542338,6021.248585,5218611,65.830225,0.459
Puzzle_82,406,143,70,18740,29626328,1580.913981,0,inf,10985,46456614,4229.095494,714266,65.041055,0.141
Puzzle_83,507,194,74,10683,27225546,2548.492558,0,inf,10686,48610248,4548.965750,870179,55.862355,0.088
Puzzle_84,509,157,88,10635,18944400,1781.325811,0,inf,11680,66369068,5682.283219,1029108,64.491840,0.151
